Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
43.7,13.623876,66.0,23.0,43.7,0,,,,,,,,
,,,,,18,19.0,19,,,,,,
,,,,,40,22.0,22,,,,,,
,,,,,61,21.0,21,,,,,,
,,,,,70,9.0,9,,,,,,
,,,,,90,20.0,20,,,,,,
,,,,,106,16.0,16,,,,,,
,,,,,147,41.0,41,,,,,,
,,,,,166,19.0,19,,,,,,
,,,,,184,18.0,18,,,,,,
,,,,,200,16.0,16,,,,,,
,,,,,228,28.0,28,,,,,,
,,,,,246,18.0,18,,,,,,
,,,,,283,37.0,37,,,,,,
,,,,,296,13.0,13,,,,,,
,,,,,314,18.0,18,,,,,,
,,,,,337,23.0,23,,,,,,
,,,,,361,24.0,24,,,,,,
,,,,,380,19.0,19,,,,,,
,,,,,395,15.0,15,,,,,,
,,,,,412,17.0,17,,,,,,
,,,,,468,56.0,56,,,,,,
,,,,,488,20.0,20,,,,,,
,,,,,539,51.0,51,,,,,,
,,,,,553,14.0,14,,,,,,
,,,,,576,23.0,23,,,,,,
,,,,,592,16.0,16,,,,,,
,,,,,609,17.0,17,,,,,,
,,,,,621,12.0,12,,,,,,
,,,,,658,37.0,37,,,,,,
,,,,,691,33.0,33,,,,,,
,,,,,701,10.0,10,,,,,,
,,,,,718,17.0,17,,,,,,
,,,,,732,14.0,14,,,,,,
,,,,,790,58.0,58,,,,,,
,,,,,804,14.0,14,,,,,,
,,,,,816,12.0,12,,,,,,
,,,,,850,34.0,34,,,,,,
,,,,,867,17.0,17,,,,,,
,,,,,880,13.0,13,,,,,,
,,,,,891,11.0,11,,,,,,
,,,,,905,14.0,14,,,,,,
,,,,,916,11.0,11,,,,,,
,,,,,957,41.0,41,,,,,,
,,,,,977,20.0,20,,,,,,
,,,,,1000,,,1.083687663078308,0.07340215891599655,1.1107420921325684,2.8151919841766357,0.97,0.0005
,,,,,1011,34.0,34,,,,,,
,,,,,1030,19.0,19,,,,,,
,,,,,1074,44.0,44,,,,,,
,,,,,1085,11.0,11,,,,,,
,,,,,1112,27.0,27,,,,,,
,,,,,1136,24.0,24,,,,,,
,,,,,1163,27.0,27,,,,,,
,,,,,1179,16.0,16,,,,,,
,,,,,1198,19.0,19,,,,,,
,,,,,1209,11.0,11,,,,,,
,,,,,1240,31.0,31,,,,,,
,,,,,1260,20.0,20,,,,,,
,,,,,1285,25.0,25,,,,,,
,,,,,1337,52.0,52,,,,,,
,,,,,1347,10.0,10,,,,,,
,,,,,1366,19.0,19,,,,,,
,,,,,1381,15.0,15,,,,,,
,,,,,1398,17.0,17,,,,,,
,,,,,1416,18.0,18,,,,,,
,,,,,1429,13.0,13,,,,,,
,,,,,1458,29.0,29,,,,,,
,,,,,1497,39.0,39,,,,,,
,,,,,1516,19.0,19,,,,,,
,,,,,1529,13.0,13,,,,,,
,,,,,1543,14.0,14,,,,,,
,,,,,1571,28.0,28,,,,,,
,,,,,1583,12.0,12,,,,,,
,,,,,1603,20.0,20,,,,,,
,,,,,1631,28.0,28,,,,,,
,,,,,1646,15.0,15,,,,,,
,,,,,1722,76.0,76,,,,,,
,,,,,1738,16.0,16,,,,,,
,,,,,1775,37.0,37,,,,,,
,,,,,1811,36.0,36,,,,,,
,,,,,1829,18.0,18,,,,,,
,,,,,1857,28.0,28,,,,,,
,,,,,1868,11.0,11,,,,,,
,,,,,1879,11.0,11,,,,,,
,,,,,1896,17.0,17,,,,,,
,,,,,1917,21.0,21,,,,,,
,,,,,1929,12.0,12,,,,,,
,,,,,1947,18.0,18,,,,,,
,,,,,1964,17.0,17,,,,,,
,,,,,1982,18.0,18,,,,,,
,,,,,1995,13.0,13,,,,,,
,,,,,2000,,,0.003364626783877611,1.157905101776123,1.16664457321167,0.06712847948074341,0.94,0.0005
