Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
14.644667,5.0972915,27.807364,8.6561165,18.7,0,,,,,,,,,,
,,,,,38,39.038837,39,,,,,,,,
,,,,,53,10.917464,15,,,,,,,,
,,,,,63,6.874247,10,,,,,,,,
,,,,,113,37.471035,50,,,,,,,,
,,,,,140,16.870958,27,,,,,,,,
,,,,,152,10.159188,12,,,,,,,,
,,,,,161,6.26126,9,,,,,,,,
,,,,,180,5.48879,19,,,,,,,,
,,,,,198,14.183917,18,,,,,,,,
,,,,,208,6.637023,10,,,,,,,,
,,,,,217,5.6599803,9,,,,,,,,
,,,,,237,16.226662,20,,,,,,,,
,,,,,262,25.994873,25,,,,,,,,
,,,,,280,9.547671,18,,,,,,,,
,,,,,300,15.990478,20,,,,,,,,
,,,,,316,12.00403,16,,,,,,,,
,,,,,339,26.117996,23,,,,,,,,
,,,,,354,8.284588,15,,,,,,,,
,,,,,373,16.6823,19,,,,,,,,
,,,,,395,22.858423,22,,,,,,,,
,,,,,417,22.850224,22,,,,,,,,
,,,,,439,22.398825,22,,,,,,,,
,,,,,458,11.95537,19,,,,,,,,
,,,,,472,7.0469937,14,,,,,,,,
,,,,,496,19.518663,24,,,,,,,,
,,,,,507,9.6474085,11,,,,,,,,
,,,,,535,13.1999855,28,,,,,,,,
,,,,,571,26.381605,36,,,,,,,,
,,,,,592,13.5710535,21,,,,,,,,
,,,,,608,16.453104,16,,,,,,,,
,,,,,616,4.2209616,8,,,,,,,,
,,,,,651,48.53651,35,,,,,,,,
,,,,,686,10.440441,35,,,,,,,,
,,,,,697,9.039076,11,,,,,,,,
,,,,,717,9.012416,20,,,,,,,,
,,,,,736,17.691559,19,,,,,,,,
,,,,,750,12.603146,14,,,,,,,,
,,,,,770,11.696748,20,,,,,,,,
,,,,,791,21.016155,21,,,,,,,,
,,,,,806,9.942881,15,,,,,,,,
,,,,,835,37.697277,29,,,,,,,,
,,,,,863,9.424825,28,,,,,,,,
,,,,,885,23.774788,22,,,,,,,,
,,,,,909,12.080645,24,,,,,,,,
,,,,,948,58.60262,39,,,,,,,,
,,,,,960,9.478305,12,,,,,,,,
,,,,,972,8.952339,12,,,,,,,,
,,,,,997,28.023186,25,,,,,,,,
,,,,,1010,7.537318,13,,,,,,,,
,,,,,1031,18.537886,21,,,,,,,,
,,,,,1049,10.521482,18,,,,,,,,
,,,,,1090,46.724365,41,,,,,,,,
,,,,,1103,12.641046,13,,,,,,,,
,,,,,1114,8.076509,11,,,,,,,,
,,,,,1126,8.262938,12,,,,,,,,
,,,,,1158,11.387573,32,,,,,,,,
,,,,,1179,12.110472,21,,,,,,,,
,,,,,1190,9.152903,11,,,,,,,,
,,,,,1206,12.163899,16,,,,,,,,
,,,,,1217,6.826063,11,,,,,,,,
,,,,,1254,52.110348,37,,,,,,,,
,,,,,1278,16.874712,24,,,,,,,,
,,,,,1304,19.184135,26,,,,,,,,
,,,,,1330,16.983488,26,,,,,,,,
,,,,,1346,6.4010615,16,,,,,,,,
,,,,,1366,7.60317,20,,,,,,,,
,,,,,1401,24.289623,35,,,,,,,,
,,,,,1443,21.824982,42,,,,,,,,
,,,,,1468,27.827599,25,,,,,,,,
,,,,,1487,17.311005,19,,,,,,,,
,,,,,1514,28.214489,27,,,,,,,,
,,,,,1571,73.65969,57,,,,,,,,
,,,,,1581,7.42411,10,,,,,,,,
,,,,,1596,10.492165,15,,,,,,,,
,,,,,1611,13.508414,15,,,,,,,,
,,,,,1625,9.965219,14,,,,,,,,
,,,,,1640,10.395148,15,,,,,,,,
,,,,,1665,17.549002,25,,,,,,,,
,,,,,1686,10.747537,21,,,,,,,,
,,,,,1696,5.1314774,10,,,,,,,,
,,,,,1723,20.734278,27,,,,,,,,
,,,,,1735,10.472906,12,,,,,,,,
,,,,,1752,11.198813,17,,,,,,,,
,,,,,1765,10.064207,13,,,,,,,,
,,,,,1822,86.87858,57,,,,,,,,
,,,,,1832,8.537143,10,,,,,,,,
,,,,,1847,11.476623,15,,,,,,,,
,,,,,1869,14.855198,22,,,,,,,,
,,,,,1879,8.228944,10,,,,,,,,
,,,,,1918,17.963364,39,,,,,,,,
,,,,,1953,26.916212,35,,,,,,,,
,,,,,1971,15.378228,18,,,,,,,,
,,,,,1993,14.106907,22,,,,,,,,
,,,,,2006,11.317709,13,,,,,,,,
,,,,,2025,10.653768,19,,,,,,,,
,,,,,2047,15.876003,22,,,,,,,,
,,,,,2072,22.959618,25,,,,,,,,
,,,,,2082,7.7212334,10,,,,,,,,
,,,,,2106,12.900832,24,,,,,,,,
,,,,,2122,9.483702,16,,,,,,,,
,,,,,2139,9.836915,17,,,,,,,,
,,,,,2177,50.53807,38,,,,,,,,
,,,,,2189,8.332123,12,,,,,,,,
,,,,,2208,15.053197,19,,,,,,,,
,,,,,2227,16.713287,19,,,,,,,,
,,,,,2244,16.606068,17,,,,,,,,
,,,,,2255,7.961201,11,,,,,,,,
,,,,,2271,8.723913,16,,,,,,,,
,,,,,2306,38.07049,35,,,,,,,,
,,,,,2326,19.156765,20,,,,,,,,
,,,,,2342,15.032354,16,,,,,,,,
,,,,,2357,11.55948,15,,,,,,,,
,,,,,2372,15.370193,15,,,,,,,,
,,,,,2388,11.316335,16,,,,,,,,
,,,,,2410,8.243027,22,,,,,,,,
,,,,,2420,5.8355937,10,,,,,,,,
,,,,,2430,8.00262,10,,,,,,,,
,,,,,2446,8.803921,16,,,,,,,,
,,,,,2469,23.743387,23,,,,,,,,
,,,,,2491,18.776958,22,,,,,,,,
,,,,,2509,19.663553,18,,,,,,,,
,,,,,2519,6.689881,10,,,,,,,,
,,,,,2570,52.581944,51,,,,,,,,
,,,,,2607,22.174055,37,,,,,,,,
,,,,,2625,11.877817,18,,,,,,,,
,,,,,2639,9.345627,14,,,,,,,,
,,,,,2661,20.960548,22,,,,,,,,
,,,,,2676,10.084416,15,,,,,,,,
,,,,,2689,6.657559,13,,,,,,,,
,,,,,2718,17.800411,29,,,,,,,,
,,,,,2739,12.143059,21,,,,,,,,
,,,,,2762,23.078203,23,,,,,,,,
,,,,,2783,14.574089,21,,,,,,,,
,,,,,2813,23.331987,30,,,,,,,,
,,,,,2826,6.142517,13,,,,,,,,
,,,,,2861,16.702805,35,,,,,,,,
,,,,,2875,8.5255,14,,,,,,,,
,,,,,2885,7.339139,10,,,,,,,,
,,,,,2900,7.9235954,15,,,,,,,,
,,,,,2919,20.385942,19,,,,,,,,
,,,,,2930,8.408753,11,,,,,,,,
,,,,,2946,15.10663,16,,,,,,,,
,,,,,2969,13.854956,23,,,,,,,,
,,,,,2995,21.91719,26,,,,,,,,
,,,,,3014,18.293392,19,,,,,,,,
,,,,,3046,6.3735304,32,,,,,,,,
,,,,,3059,11.664263,13,,,,,,,,
,,,,,3070,8.81486,11,,,,,,,,
,,,,,3099,25.66245,29,,,,,,,,
,,,,,3123,25.51138,24,,,,,,,,
,,,,,3143,11.397853,20,,,,,,,,
,,,,,3166,21.090271,23,,,,,,,,
,,,,,3200,21.772974,34,,,,,,,,
,,,,,3215,12.856094,15,,,,,,,,
,,,,,3232,14.869135,17,,,,,,,,
,,,,,3242,7.4310684,10,,,,,,,,
,,,,,3253,5.591326,11,,,,,,,,
,,,,,3277,10.553209,24,,,,,,,,
,,,,,3294,16.223326,17,,,,,,,,
,,,,,3343,46.102825,49,,,,,,,,
,,,,,3363,10.163486,20,,,,,,,,
,,,,,3395,34.640354,32,,,,,,,,
,,,,,3442,28.56188,47,,,,,,,,
,,,,,3457,8.849994,15,,,,,,,,
,,,,,3465,5.0756664,8,,,,,,,,
,,,,,3492,11.952843,27,,,,,,,,
,,,,,3528,18.6535,36,,,,,,,,
,,,,,3537,6.125349,9,,,,,,,,
,,,,,3551,13.010589,14,,,,,,,,
,,,,,3565,8.078071,14,,,,,,,,
,,,,,3593,37.035454,28,,,,,,,,
,,,,,3605,8.471481,12,,,,,,,,
,,,,,3645,29.770664,40,,,,,,,,
,,,,,3682,40.198555,37,,,,,,,,
,,,,,3703,22.929749,21,,,,,,,,
,,,,,3713,7.4644437,10,,,,,,,,
,,,,,3745,38.734756,32,,,,,,,,
,,,,,3773,21.268559,28,,,,,,,,
,,,,,3784,8.329414,11,,,,,,,,
,,,,,3810,19.671991,26,,,,,,,,
,,,,,3823,8.006541,13,,,,,,,,
,,,,,3846,20.746288,23,,,,,,,,
,,,,,3862,8.562617,16,,,,,,,,
,,,,,3887,17.418314,25,,,,,,,,
,,,,,3901,8.003776,14,,,,,,,,
,,,,,3916,9.584568,15,,,,,,,,
,,,,,3938,14.763801,22,,,,,,,,
,,,,,3960,12.0720625,22,,,,,,,,
,,,,,3976,13.186245,16,,,,,,,,
,,,,,3994,16.891388,18,,,,,,,,
,,,,,4019,17.460615,25,,,,,,,,
,,,,,4041,19.468029,22,,,,,,,,
,,,,,4059,17.303837,18,,,,,,,,
,,,,,4072,8.230302,13,,,,,,,,
,,,,,4092,15.979076,20,,,,,,,,
,,,,,4118,22.250164,26,,,,,,,,
,,,,,4133,10.222774,15,,,,,,,,
,,,,,4143,8.34872,10,,,,,,,,
,,,,,4175,25.985102,32,,,,,,,,
,,,,,4189,8.434817,14,,,,,,,,
,,,,,4203,7.903254,14,,,,,,,,
,,,,,4218,10.927784,15,,,,,,,,
,,,,,4268,50.976677,50,,,,,,,,
,,,,,4280,6.9820566,12,,,,,,,,
,,,,,4314,10.834131,34,,,,,,,,
,,,,,4324,7.787614,10,,,,,,,,
,,,,,4347,14.908875,23,,,,,,,,
,,,,,4366,19.534836,19,,,,,,,,
,,,,,4383,10.128349,17,,,,,,,,
,,,,,4391,5.9150786,8,,,,,,,,
,,,,,4403,9.527103,12,,,,,,,,
,,,,,4424,27.013088,21,,,,,,,,
,,,,,4435,9.472492,11,,,,,,,,
,,,,,4451,15.274062,16,,,,,,,,
,,,,,4463,10.537057,12,,,,,,,,
,,,,,4484,20.0296,21,,,,,,,,
,,,,,4496,10.199423,12,,,,,,,,
,,,,,4513,14.754444,17,,,,,,,,
,,,,,4543,36.557728,30,,,,,,,,
,,,,,4566,17.687845,23,,,,,,,,
,,,,,4618,63.896763,52,,,,,,,,
,,,,,4636,16.434498,18,,,,,,,,
,,,,,4649,8.562827,13,,,,,,,,
,,,,,4672,10.936554,23,,,,,,,,
,,,,,4695,20.831076,23,,,,,,,,
,,,,,4713,19.802122,18,,,,,,,,
,,,,,4743,23.64955,30,,,,,,,,
,,,,,4756,11.599785,13,,,,,,,,
,,,,,4769,9.079662,13,,,,,,,,
,,,,,4788,7.8189993,19,,,,,,,,
,,,,,4802,12.909187,14,,,,,,,,
,,,,,4813,9.382439,11,,,,,,,,
,,,,,4830,8.63271,17,,,,,,,,
,,,,,4845,9.901918,15,,,,,,,,
,,,,,4861,13.266148,16,,,,,,,,
,,,,,4882,19.383366,21,,,,,,,,
,,,,,4904,22.009514,22,,,,,,,,
,,,,,4934,20.844418,30,,,,,,,,
,,,,,4977,49.089878,43,,,,,,,,
,,,,,4989,7.7320347,12,,,,,,,,
30.793167,19.75742,64.856026,9.743601,27.0,5000,,,,,,,,,,
,,,,,5003,8.914486,14,,,,,,,,
,,,,,5014,8.695208,11,,,,,,,,
,,,,,5025,8.230545,11,,,,,,,,
,,,,,5048,22.429073,23,,,,,,,,
,,,,,5069,15.863851,21,,,,,,,,
,,,,,5104,30.738438,35,,,,,,,,
,,,,,5115,8.125232,11,,,,,,,,
,,,,,5125,7.754309,10,,,,,,,,
,,,,,5207,146.52228,82,,,,,,,,
,,,,,5223,10.448152,16,,,,,,,,
,,,,,5253,26.164028,30,,,,,,,,
,,,,,5272,16.92862,19,,,,,,,,
,,,,,5290,15.584128,18,,,,,,,,
,,,,,5316,31.07513,26,,,,,,,,
,,,,,5334,13.896298,18,,,,,,,,
,,,,,5355,18.970083,21,,,,,,,,
,,,,,5374,13.16001,19,,,,,,,,
,,,,,5400,20.720413,26,,,,,,,,
,,,,,5416,14.77084,16,,,,,,,,
,,,,,5431,12.054964,15,,,,,,,,
,,,,,5441,7.842863,10,,,,,,,,
,,,,,5452,9.429348,11,,,,,,,,
,,,,,5466,10.664224,14,,,,,,,,
,,,,,5481,11.990676,15,,,,,,,,
,,,,,5501,23.56637,20,,,,,,,,
,,,,,5517,15.637142,16,,,,,,,,
,,,,,5533,17.80449,16,,,,,,,,
,,,,,5548,11.798913,15,,,,,,,,
,,,,,5566,18.734142,18,,,,,,,,
,,,,,5580,12.592868,14,,,,,,,,
,,,,,5604,26.642736,24,,,,,,,,
,,,,,5629,17.967762,25,,,,,,,,
,,,,,5645,14.516362,16,,,,,,,,
,,,,,5657,10.534817,12,,,,,,,,
,,,,,5725,128.45764,68,,,,,,,,
,,,,,5742,14.382438,17,,,,,,,,
,,,,,5754,10.078422,12,,,,,,,,
,,,,,5776,20.344496,22,,,,,,,,
,,,,,5793,16.714607,17,,,,,,,,
,,,,,5810,17.138084,17,,,,,,,,
,,,,,5820,8.141301,10,,,,,,,,
,,,,,5841,11.290842,21,,,,,,,,
,,,,,5876,41.601154,35,,,,,,,,
,,,,,5897,20.676289,21,,,,,,,,
,,,,,5922,22.647806,25,,,,,,,,
,,,,,5938,13.891617,16,,,,,,,,
,,,,,5961,22.684292,23,,,,,,,,
,,,,,5976,13.419569,15,,,,,,,,
,,,,,5984,5.732214,8,,,,,,,,
