Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
-1082.6714,516.37994,-515.1129,-2017.6268,142.7,0,,,,,,,,
,,,,,102,-63.435555,103,,,,,,
,,,,,232,-134.31633,130,,,,,,
,,,,,310,-334.44043,78,,,,,,
,,,,,378,-110.03728,68,,,,,,
,,,,,453,-55.70472,75,,,,,,
,,,,,547,-67.82653,94,,,,,,
,,,,,668,-285.1777,121,,,,,,
,,,,,800,-188.45389,132,,,,,,
,,,,,887,-226.16705,87,,,,,,
,,,,,952,-90.54808,65,,,,,,
,,,,,1023,-124.412704,71,,,,,,
,,,,,1131,-191.6914,108,,,,,,
,,,,,1236,-86.31278,105,,,,,,
,,,,,1294,-94.76554,58,,,,,,
,,,,,1385,-115.27803,91,,,,,,
,,,,,1497,-4.9840317,112,,,,,,
,,,,,1613,-175.09738,116,,,,,,
,,,,,1715,-374.83508,102,,,,,,
,,,,,1786,-50.781956,71,,,,,,
,,,,,1894,-321.23236,108,,,,,,
,,,,,1960,-101.486084,66,,,,,,
,,,,,2059,-171.74979,99,,,,,,
,,,,,2130,-181.57846,71,,,,,,
,,,,,2227,-337.35895,97,,,,,,
,,,,,2342,-110.37037,115,,,,,,
,,,,,2444,-71.388794,102,,,,,,
,,,,,2558,-390.9145,114,,,,,,
,,,,,2654,-170.10583,96,,,,,,
,,,,,2757,-253.95213,103,,,,,,
,,,,,2857,-244.60149,100,,,,,,
,,,,,2918,-202.63812,61,,,,,,
,,,,,3022,-195.73181,104,,,,,,
,,,,,3133,-122.6718,111,,,,,,
,,,,,3223,-323.33176,90,,,,,,
,,,,,3283,-122.4316,60,,,,,,
,,,,,3399,-285.08798,116,,,,,,
,,,,,3471,-274.17313,72,,,,,,
,,,,,3559,-455.70343,88,,,,,,
,,,,,3635,-74.55443,76,,,,,,
,,,,,3734,-273.12064,99,,,,,,
,,,,,3819,-339.13086,85,,,,,,
,,,,,3903,-324.85123,84,,,,,,
,,,,,3983,-193.35872,80,,,,,,
,,,,,4071,-347.17743,88,,,,,,
,,,,,4150,-98.828636,79,,,,,,
,,,,,4216,-328.65228,66,,,,,,
,,,,,4350,-194.51999,134,,,,,,
,,,,,4429,-258.8024,79,,,,,,
,,,,,4496,-52.999367,67,,,,,,
,,,,,4565,-128.7989,69,,,,,,
,,,,,4627,-69.37441,62,,,,,,
,,,,,4722,-317.64655,95,,,,,,
,,,,,4808,-337.39682,86,,,,,,
,,,,,4907,-69.53676,99,,,,,,
,,,,,4972,-96.83258,65,,,,,,
,,,,,5039,-169.52045,67,,,,,,
,,,,,5101,-118.49594,62,,,,,,
,,,,,5198,-222.6567,97,,,,,,
,,,,,5292,-156.56287,94,,,,,,
,,,,,5418,-50.19054,126,,,,,,
,,,,,5478,-131.73813,60,,,,,,
,,,,,5569,-422.72006,91,,,,,,
,,,,,5682,-292.80896,113,,,,,,
,,,,,5788,-244.58096,106,,,,,,
,,,,,5863,-306.83142,75,,,,,,
,,,,,5952,-130.83719,89,,,,,,
,,,,,6072,-130.60382,120,,,,,,
,,,,,6170,-92.221695,98,,,,,,
,,,,,6281,-83.797516,111,,,,,,
,,,,,6366,-99.46801,85,,,,,,
,,,,,6451,-384.84583,85,,,,,,
,,,,,6552,-160.35805,101,,,,,,
,,,,,6669,-299.14435,117,,,,,,
,,,,,6794,-134.77768,125,,,,,,
,,,,,6930,-92.73421,136,,,,,,
,,,,,7045,-356.58398,115,,,,,,
,,,,,7155,-316.5608,110,,,,,,
,,,,,7294,-215.9317,139,,,,,,
,,,,,7381,-289.344,87,,,,,,
,,,,,7477,-101.1927,96,,,,,,
,,,,,7643,-138.38153,166,,,,,,
,,,,,7716,-135.62419,73,,,,,,
,,,,,7818,-378.82025,102,,,,,,
,,,,,7909,-242.77768,91,,,,,,
,,,,,8055,-95.495346,146,,,,,,
,,,,,8143,-193.57962,88,,,,,,
,,,,,8239,-113.50103,96,,,,,,
,,,,,8333,-311.0927,94,,,,,,
,,,,,8449,-301.55438,116,,,,,,
,,,,,8552,-96.64745,103,,,,,,
,,,,,8696,-150.66496,144,,,,,,
,,,,,8773,-66.699585,77,,,,,,
,,,,,8855,-141.42865,82,,,,,,
,,,,,8987,-104.94926,132,,,,,,
,,,,,9141,-361.67258,154,,,,,,
,,,,,9251,-140.0583,110,,,,,,
,,,,,9333,-214.21292,82,,,,,,
,,,,,9418,-26.24099,85,,,,,,
,,,,,9494,-194.7114,76,,,,,,
,,,,,9614,-62.12725,120,,,,,,
,,,,,9709,-211.46185,95,,,,,,
,,,,,9776,-174.7476,67,,,,,,
,,,,,9872,-120.18272,96,,,,,,
,,,,,9941,-84.17825,69,,,,,,
-915.08105,514.06934,-532.2273,-2066.2053,119.6,10000,,,,,,,,
,,,,,10019,-302.46686,78,,,,,,
,,,,,10113,-92.38176,94,,,,,,
,,,,,10185,-140.01685,72,,,,,,
,,,,,10278,-341.74017,93,,,,,,
,,,,,10359,-199.21817,81,,,,,,
,,,,,10449,-60.469196,90,,,,,,
,,,,,10518,-98.28658,69,,,,,,
,,,,,10601,-514.19965,83,,,,,,
,,,,,10696,-107.03393,95,,,,,,
,,,,,10790,-117.407486,94,,,,,,
,,,,,10919,-219.48483,129,,,,,,
,,,,,11017,-357.71066,98,,,,,,
,,,,,11139,-159.09113,122,,,,,,
,,,,,11211,-83.0009,72,,,,,,
,,,,,11337,-53.2445,126,,,,,,
,,,,,11417,-254.70995,80,,,,,,
,,,,,11513,-118.91811,96,,,,,,
,,,,,11639,-184.85849,126,,,,,,
,,,,,11733,-89.94976,94,,,,,,
,,,,,11843,-389.4009,110,,,,,,
,,,,,11939,-248.09288,96,,,,,,
,,,,,12014,-360.56616,75,,,,,,
,,,,,12082,-98.5826,68,,,,,,
,,,,,12148,-230.71805,66,,,,,,
,,,,,12271,-54.684402,123,,,,,,
,,,,,12364,-66.24748,93,,,,,,
,,,,,12439,-174.59595,75,,,,,,
,,,,,12542,-96.01435,103,,,,,,
,,,,,12648,-185.18964,106,,,,,,
,,,,,12752,-107.02178,104,,,,,,
,,,,,12888,-112.64145,136,,,,,,
,,,,,13004,-69.658966,116,,,,,,
,,,,,13141,-308.7066,137,,,,,,
,,,,,13214,-199.36644,73,,,,,,
,,,,,13299,-372.22467,85,,,,,,
,,,,,13402,-337.53973,103,,,,,,
,,,,,13522,-265.15326,120,,,,,,
,,,,,13659,-164.59558,137,,,,,,
,,,,,13732,-101.55751,73,,,,,,
,,,,,13813,-63.471096,81,,,,,,
,,,,,13921,-365.93988,108,,,,,,
,,,,,13994,-85.262955,73,,,,,,
,,,,,14117,-158.75978,123,,,,,,
,,,,,14205,-99.75918,88,,,,,,
,,,,,14325,-15.969215,120,,,,,,
,,,,,14446,-163.70776,121,,,,,,
,,,,,14524,-214.575,78,,,,,,
,,,,,14596,-113.92851,72,,,,,,
,,,,,14695,-216.85681,99,,,,,,
,,,,,14785,-91.64901,90,,,,,,
,,,,,14875,-315.82443,90,,,,,,
,,,,,14973,-248.21912,98,,,,,,
,,,,,15077,-359.25244,104,,,,,,
,,,,,15173,-72.42827,96,,,,,,
,,,,,15281,-53.004017,108,,,,,,
,,,,,15362,11.32563,81,,,,,,
,,,,,15483,-382.02557,121,,,,,,
,,,,,15550,-99.6635,67,,,,,,
,,,,,15628,-120.234634,78,,,,,,
,,,,,15707,-74.794525,79,,,,,,
,,,,,15808,-279.8225,101,,,,,,
,,,,,15929,-147.76033,121,,,,,,
,,,,,16032,-534.0508,103,,,,,,
,,,,,16137,-304.7927,105,,,,,,
,,,,,16215,-112.25052,78,,,,,,
,,,,,16293,-101.27857,78,,,,,,
,,,,,16390,-92.59818,97,,,,,,
,,,,,16470,-187.70697,80,,,,,,
,,,,,16621,-107.69828,151,,,,,,
,,,,,16723,-97.94546,102,,,,,,
,,,,,16831,-233.76999,108,,,,,,
,,,,,16932,-351.3104,101,,,,,,
,,,,,17032,-295.37115,100,,,,,,
,,,,,17109,-75.107376,77,,,,,,
,,,,,17236,-172.87761,127,,,,,,
,,,,,17315,-129.40569,79,,,,,,
,,,,,17426,-365.64392,111,,,,,,
,,,,,17552,-144.11899,126,,,,,,
,,,,,17642,-410.4339,90,,,,,,
,,,,,17745,-318.24078,103,,,,,,
,,,,,17879,-328.7022,134,,,,,,
,,,,,17973,-243.45212,94,,,,,,
,,,,,18075,-87.376205,102,,,,,,
,,,,,18187,-36.351616,112,,,,,,
,,,,,18293,-290.55722,106,,,,,,
,,,,,18396,-147.58455,103,,,,,,
,,,,,18529,-357.90033,133,,,,,,
,,,,,18619,-415.6924,90,,,,,,
,,,,,18684,-353.1426,65,,,,,,
,,,,,18771,-448.71518,87,,,,,,
,,,,,18869,-135.91887,98,,,,,,
,,,,,18975,-358.28806,106,,,,,,
,,,,,19038,-142.71524,63,,,,,,
,,,,,19153,-200.33926,115,,,,,,
,,,,,19257,-288.20755,104,,,,,,
,,,,,19398,-251.04256,141,,,,,,
,,,,,19467,-86.53548,69,,,,,,
,,,,,19601,-295.96832,134,,,,,,
,,,,,19725,-189.08797,124,,,,,,
,,,,,19791,-269.1233,66,,,,,,
,,,,,19930,-431.1142,139,,,,,,
-1251.7367,1149.241,-423.49457,-3950.1199,161.8,20000,,,11.622997283935547,-0.04163265973329544,-1.044679880142212,8.563291549682617,0.88,0.001
,,,,,20013,-312.67566,83,,,,,,
,,,,,20102,-275.88385,89,,,,,,
,,,,,20175,-101.35378,73,,,,,,
,,,,,20265,-271.0634,90,,,,,,
,,,,,20387,-261.77423,122,,,,,,
,,,,,20484,-70.59502,97,,,,,,
,,,,,20597,-338.43872,113,,,,,,
,,,,,20713,-227.031,116,,,,,,
,,,,,20795,-206.14667,82,,,,,,
,,,,,20924,-10.370445,129,,,,,,
,,,,,21000,,,83.21795654296875,-2.4290566444396973,-1.342186450958252,44.8941535949707,0.874,0.001
,,,,,21057,-213.73383,133,,,,,,
,,,,,21203,-181.18634,146,,,,,,
,,,,,21273,-79.0437,70,,,,,,
,,,,,21357,-96.95918,84,,,,,,
,,,,,21430,-44.502655,73,,,,,,
,,,,,21532,-115.3736,102,,,,,,
,,,,,21629,-52.76241,97,,,,,,
,,,,,21722,-441.53815,93,,,,,,
,,,,,21809,-212.41849,87,,,,,,
,,,,,21921,-181.70958,112,,,,,,
,,,,,22000,,,49.70851516723633,-3.141915798187256,-3.104764699935913,31.75513458251953,0.868,0.001
,,,,,22064,-22.99459,143,,,,,,
,,,,,22184,-132.05554,120,,,,,,
,,,,,22300,-142.8596,116,,,,,,
,,,,,22373,-61.575768,73,,,,,,
,,,,,22462,-99.492836,89,,,,,,
,,,,,22582,-69.55256,120,,,,,,
,,,,,22642,-94.58612,60,,,,,,
,,,,,22771,-103.80194,129,,,,,,
,,,,,22840,-62.54525,69,,,,,,
,,,,,22962,-115.13573,122,,,,,,
,,,,,23000,,,67.56534576416016,-1.1873114109039307,-0.6638574004173279,112.357666015625,0.862,0.001
,,,,,23091,-143.27274,129,,,,,,
,,,,,23177,-89.07149,86,,,,,,
,,,,,23266,-140.23442,89,,,,,,
,,,,,23356,-138.59512,90,,,,,,
,,,,,23446,-77.095474,90,,,,,,
,,,,,23532,-95.220825,86,,,,,,
,,,,,23638,-62.291412,106,,,,,,
,,,,,23726,-229.41347,88,,,,,,
,,,,,23839,-41.184082,113,,,,,,
,,,,,23900,-183.13486,61,,,,,,
,,,,,24000,,,194.6106414794922,-1.766729474067688,0.00588381290435791,108.97036743164062,0.856,0.001
,,,,,24031,-111.73242,131,,,,,,
,,,,,24128,-88.3209,97,,,,,,
,,,,,24259,-143.04482,131,,,,,,
,,,,,24342,-198.58717,83,,,,,,
,,,,,24468,-325.06384,126,,,,,,
,,,,,24557,-195.23923,89,,,,,,
,,,,,24667,-138.72868,110,,,,,,
,,,,,24770,-78.7574,103,,,,,,
,,,,,24847,-72.06629,77,,,,,,
,,,,,24916,-67.85628,69,,,,,,
,,,,,25000,,,8.499258995056152,-1.4191021919250488,-1.1595598459243774,28.494028091430664,0.85,0.001
,,,,,25031,-405.172,115,,,,,,
,,,,,25153,-89.71739,122,,,,,,
,,,,,25290,-224.18787,137,,,,,,
,,,,,25407,-152.8411,117,,,,,,
,,,,,25477,-104.24788,70,,,,,,
,,,,,25552,-77.00587,75,,,,,,
,,,,,25665,-90.89276,113,,,,,,
,,,,,25787,-151.65039,122,,,,,,
,,,,,25855,-101.31388,68,,,,,,
,,,,,25954,-144.6911,99,,,,,,
,,,,,26000,,,14.537793159484863,-5.54968786239624,-5.095745086669922,47.63264083862305,0.844,0.001
,,,,,26033,-114.967316,79,,,,,,
,,,,,26108,-109.51083,75,,,,,,
,,,,,26205,-190.15198,97,,,,,,
,,,,,26301,-26.134773,96,,,,,,
,,,,,26423,-127.98161,122,,,,,,
,,,,,26518,-195.70111,95,,,,,,
,,,,,26632,-130.23982,114,,,,,,
,,,,,26774,-1.2568207,142,,,,,,
,,,,,26877,-87.642136,103,,,,,,
,,,,,26949,-154.74185,72,,,,,,
,,,,,27000,,,65.76614379882812,-2.4584195613861084,-3.2955572605133057,70.14224243164062,0.838,0.001
,,,,,27037,-215.68433,88,,,,,,
,,,,,27135,-82.18398,98,,,,,,
,,,,,27211,-75.930695,76,,,,,,
,,,,,27307,-157.3122,96,,,,,,
,,,,,27414,-8.255768,107,,,,,,
,,,,,27531,-149.15927,117,,,,,,
,,,,,27628,-91.87081,97,,,,,,
,,,,,27740,-97.939445,112,,,,,,
,,,,,27823,-107.35756,83,,,,,,
,,,,,27921,-121.942635,98,,,,,,
,,,,,27998,-99.582375,77,,,,,,
,,,,,28000,,,0.8724143505096436,2.1871140003204346,2.1567866802215576,14.0128755569458,0.832,0.001
,,,,,28068,-89.828156,70,,,,,,
,,,,,28196,-77.867584,128,,,,,,
,,,,,28272,-63.578014,76,,,,,,
,,,,,28366,-71.28537,94,,,,,,
,,,,,28463,-53.013374,97,,,,,,
,,,,,28559,-128.49173,96,,,,,,
,,,,,28639,-124.97484,80,,,,,,
,,,,,28713,-83.30802,74,,,,,,
,,,,,28822,-24.546173,109,,,,,,
,,,,,28928,-91.12924,106,,,,,,
,,,,,29000,,,52.49593734741211,-2.3332204818725586,-1.9321504831314087,64.9753646850586,0.8260000000000001,0.001
,,,,,29008,-96.48475,80,,,,,,
,,,,,29084,-72.48573,76,,,,,,
,,,,,29172,29.024231,88,,,,,,
,,,,,29249,-138.89262,77,,,,,,
,,,,,29396,-216.30588,147,,,,,,
,,,,,29501,-193.76416,105,,,,,,
,,,,,29592,-116.334335,91,,,,,,
,,,,,29696,-57.644676,104,,,,,,
,,,,,29780,-99.966515,84,,,,,,
,,,,,29883,-137.1651,103,,,,,,
,,,,,29999,-75.37427,116,,,,,,
-187.52591,61.413708,-146.05707,-366.1308,579.0,30000,,,1.2737705707550049,1.0480244159698486,1.0276663303375244,14.355496406555176,0.82,0.001
,,,,,30131,-93.33834,132,,,,,,
,,,,,30203,-74.66101,72,,,,,,
,,,,,30325,-130.25272,122,,,,,,
,,,,,30429,-108.525665,104,,,,,,
,,,,,30547,-87.297966,118,,,,,,
,,,,,30671,-14.017738,124,,,,,,
,,,,,30812,-29.126572,141,,,,,,
,,,,,30917,-68.172386,105,,,,,,
,,,,,31000,,,4.417646408081055,-3.0190072059631348,-3.2346386909484863,44.07332992553711,0.8140000000000001,0.001
,,,,,31001,-61.451138,84,,,,,,
,,,,,31113,-89.611496,112,,,,,,
,,,,,31196,-83.97449,83,,,,,,
,,,,,31299,-121.10903,103,,,,,,
,,,,,31377,-90.77995,78,,,,,,
,,,,,31474,-88.41629,97,,,,,,
,,,,,31563,-123.68779,89,,,,,,
,,,,,31682,-122.4806,119,,,,,,
,,,,,31766,-44.52919,84,,,,,,
,,,,,31848,-10.239197,82,,,,,,
