Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
60.0,0.0,60.0,60.0,1930.0,0,,,,,,,,
,,,,,489,260.0,1970,,,,,,
,,,,,963,130.0,1914,,,,,,
,,,,,1440,300.0,1914,,,,,,
,,,,,1863,210.0,1690,,,,,,
,,,,,2244,170.0,1538,,,,,,
,,,,,2807,410.0,2258,,,,,,
,,,,,3381,350.0,2314,,,,,,
,,,,,3807,260.0,1730,,,,,,
,,,,,4362,410.0,2234,,,,,,
,,,,,4759,180.0,1594,,,,,,
,,,,,5251,270.0,1994,,,,,,
,,,,,5712,250.0,1850,,,,,,
,,,,,6178,220.0,1890,,,,,,
,,,,,6700,300.0,2098,,,,,,
,,,,,7152,220.0,1818,,,,,,
,,,,,7851,550.0,2802,,,,,,
,,,,,8279,210.0,1714,,,,,,
,,,,,8695,180.0,1690,,,,,,
,,,,,9184,270.0,1970,,,,,,
,,,,,9636,220.0,1810,,,,,,
60.0,0.0,60.0,60.0,1930.0,10000,,,,,,,,
,,,,,10031,170.0,1578,,,,,,
,,,,,10586,320.0,2242,,,,,,
,,,,,11123,200.0,2146,,,,,,
,,,,,11592,270.0,1890,,,,,,
,,,,,12091,160.0,2002,,,,,,
,,,,,12553,220.0,1874,,,,,,
,,,,,13012,230.0,1842,,,,,,
,,,,,13503,200.0,1986,,,,,,
,,,,,13921,310.0,1698,,,,,,
,,,,,14430,280.0,2042,,,,,,
,,,,,14993,210.0,2258,,,,,,
,,,,,15500,210.0,2034,,,,,,
,,,,,15988,220.0,1970,,,,,,
,,,,,16532,220.0,2178,,,,,,
,,,,,16973,200.0,1794,,,,,,
,,,,,17452,210.0,1938,,,,,,
,,,,,18099,320.0,2602,,,,,,
,,,,,18578,150.0,1938,,,,,,
,,,,,19208,380.0,2530,,,,,,
,,,,,19708,270.0,2026,,,,,,
60.0,0.0,60.0,60.0,1930.0,20000,,,3.1695752143859863,-0.0050938986241817474,0.35656094551086426,0.8870211243629456,1.0,0.0001
,,,,,20231,280.0,2114,,,,,,
,,,,,20731,320.0,2010,,,,,,
,,,,,21000,,,8.701102256774902,0.4751887619495392,0.9165544509887695,5.601860046386719,0.9979375,0.0001
,,,,,21241,180.0,2066,,,,,,
,,,,,21667,220.0,1730,,,,,,
,,,,,22000,,,3.3946304321289062,0.6940577030181885,0.3100864887237549,6.151127338409424,0.995875,0.0001
,,,,,22171,370.0,2026,,,,,,
,,,,,22675,240.0,2042,,,,,,
,,,,,23000,,,5.733034133911133,1.2910369634628296,1.4656262397766113,9.899855613708496,0.9938125,0.0001
,,,,,23188,310.0,2066,,,,,,
,,,,,23607,280.0,1674,,,,,,
,,,,,24000,,,8.592896461486816,0.9425925016403198,1.4700406789779663,12.603865623474121,0.99175,0.0001
,,,,,24072,190.0,1882,,,,,,
,,,,,24532,170.0,1850,,,,,,
,,,,,25000,,,0.2470400035381317,1.3538647890090942,0.9556795358657837,6.747242450714111,0.9896875,0.0001
,,,,,25048,230.0,2082,,,,,,
,,,,,25558,220.0,2058,,,,,,
,,,,,26000,,,3.1504745483398438,1.3435592651367188,1.2272136211395264,6.27559757232666,0.987625,0.0001
,,,,,26068,280.0,2058,,,,,,
,,,,,26599,260.0,2130,,,,,,
,,,,,27000,,,5.591588973999023,2.4472270011901855,2.3986992835998535,13.731253623962402,0.9855625,0.0001
,,,,,27095,200.0,2010,,,,,,
,,,,,27467,190.0,1514,,,,,,
,,,,,28000,,,12.202573776245117,2.0870416164398193,2.8831591606140137,21.654695510864258,0.9835,0.0001
,,,,,28019,260.0,2234,,,,,,
,,,,,28467,200.0,1794,,,,,,
,,,,,28902,210.0,1746,,,,,,
,,,,,29000,,,0.23702959716320038,1.8722494840621948,1.6442246437072754,7.474812984466553,0.9814375,0.0001
,,,,,29376,270.0,1914,,,,,,
,,,,,29883,190.0,2058,,,,,,
487.0,90.66973,540.0,240.0,2647.6,30000,,,2.7535595893859863,2.472712516784668,2.5917916297912598,12.848167419433594,0.979375,0.0001
,,,,,30344,160.0,1850,,,,,,
,,,,,30890,300.0,2202,,,,,,
,,,,,31000,,,2.5778417587280273,2.8983261585235596,2.9389219284057617,12.301653861999512,0.9773125,0.0001
,,,,,31409,190.0,2090,,,,,,
,,,,,31741,200.0,1346,,,,,,
,,,,,32000,,,2.1265950202941895,3.331312894821167,3.1930954456329346,17.74662208557129,0.97525,0.0001
,,,,,32240,200.0,2018,,,,,,
,,,,,32580,190.0,1386,,,,,,
,,,,,33000,,,6.1389923095703125,3.5341358184814453,3.627196788787842,25.626483917236328,0.9731875,0.0001
,,,,,33017,220.0,1762,,,,,,
,,,,,33467,190.0,1810,,,,,,
,,,,,33915,230.0,1802,,,,,,
,,,,,34000,,,0.4530121088027954,3.162168025970459,2.9062747955322266,12.821784973144531,0.971125,0.0001
,,,,,34420,260.0,2050,,,,,,
,,,,,35000,,,6.566268444061279,4.035000801086426,4.321816444396973,48.419761657714844,0.9690625,0.0001
,,,,,35100,350.0,2722,,,,,,
,,,,,35593,220.0,1986,,,,,,
,,,,,36000,,,5.040884017944336,3.5776684284210205,3.752101421356201,30.648822784423828,0.967,0.0001
,,,,,36117,190.0,2114,,,,,,
,,,,,36513,230.0,1594,,,,,,
,,,,,37000,,,0.3156473636627197,4.418503761291504,4.39575719833374,10.533284187316895,0.9649375,0.0001
,,,,,37051,290.0,2170,,,,,,
,,,,,37574,220.0,2106,,,,,,
,,,,,38000,,,4.0907368659973145,4.567357063293457,4.131060600280762,52.33037185668945,0.962875,0.0001
,,,,,38021,240.0,1794,,,,,,
,,,,,38530,340.0,2034,,,,,,
,,,,,38917,190.0,1578,,,,,,
,,,,,39000,,,9.231070518493652,5.5963287353515625,6.233274936676025,66.96916961669922,0.9608125,0.0001
,,,,,39306,170.0,1570,,,,,,
,,,,,39749,270.0,1794,,,,,,
256.0,206.16498,560.0,70.0,2150.8,40000,,,4.126928806304932,4.624482154846191,4.60615348815918,42.653038024902344,0.95875,9.999989583333334e-05
,,,,,40238,130.0,1986,,,,,,
,,,,,40554,130.0,1274,,,,,,
,,,,,41000,,,2.046456813812256,4.913298606872559,4.083161354064941,129.16574096679688,0.9566875,9.989572916666667e-05
,,,,,41141,400.0,2354,,,,,,
,,,,,41566,200.0,1722,,,,,,
,,,,,42000,,,7.563406944274902,5.846706867218018,6.452022552490234,109.53143310546875,0.9546250000000001,9.97915625e-05
,,,,,42096,330.0,2138,,,,,,
,,,,,42641,200.0,2178,,,,,,
,,,,,43000,,,1.2422081232070923,6.566997528076172,5.790633201599121,98.48880767822266,0.9525625,9.968739583333334e-05
,,,,,43121,200.0,1938,,,,,,
,,,,,43595,250.0,1922,,,,,,
,,,,,43952,180.0,1450,,,,,,
,,,,,44000,,,1.2449431419372559,5.969638347625732,5.856245040893555,29.002220153808594,0.9505,9.958322916666667e-05
,,,,,44664,470.0,2866,,,,,,
,,,,,45000,,,5.673601150512695,7.064025402069092,7.048726558685303,61.08176040649414,0.9484375,9.947906250000001e-05
,,,,,45127,310.0,1874,,,,,,
,,,,,45590,110.0,1874,,,,,,
,,,,,46000,,,5.768894195556641,6.158244609832764,5.984628677368164,73.27619171142578,0.946375,9.937489583333334e-05
,,,,,46053,290.0,1858,,,,,,
,,,,,46499,210.0,1794,,,,,,
,,,,,47000,,,2.2988038063049316,8.743867874145508,8.540769577026367,50.85149383544922,0.9443125,9.927072916666668e-05
,,,,,47151,630.0,2626,,,,,,
,,,,,47741,240.0,2362,,,,,,
,,,,,48000,,,46.38535690307617,8.144294738769531,9.704395294189453,316.5330505371094,0.94225,9.916656250000001e-05
,,,,,48239,190.0,1994,,,,,,
,,,,,48665,250.0,1706,,,,,,
,,,,,49000,,,5.334005355834961,8.891825675964355,7.620152473449707,262.8402404785156,0.9401875,9.906239583333335e-05
,,,,,49181,240.0,2082,,,,,,
,,,,,49738,390.0,2242,,,,,,
381.0,128.64291,620.0,280.0,2164.4,50000,,,4.336427211761475,9.237733840942383,8.68205451965332,130.99044799804688,0.938125,9.895822916666668e-05
,,,,,50223,230.0,1954,,,,,,
,,,,,50691,220.0,1874,,,,,,
,,,,,51000,,,3.0863404273986816,9.340217590332031,9.392621994018555,71.6186294555664,0.9360625,9.88540625e-05
,,,,,51095,190.0,1634,,,,,,
,,,,,51584,210.0,1978,,,,,,
,,,,,52000,,,10.275469779968262,6.508604049682617,6.781198978424072,91.09649658203125,0.9339999999999999,9.874989583333334e-05
,,,,,52052,320.0,1874,,,,,,
,,,,,52588,220.0,2146,,,,,,
,,,,,53000,,,1.952001690864563,9.826539993286133,9.567635536193848,106.97628784179688,0.9319375,9.864572916666666e-05
,,,,,53097,210.0,2066,,,,,,
,,,,,53580,210.0,1954,,,,,,
,,,,,54000,,,2.7537856101989746,9.09865951538086,7.939993381500244,229.40426635742188,0.929875,9.85415625e-05
,,,,,54031,200.0,1810,,,,,,
,,,,,54552,310.0,2098,,,,,,
,,,,,55000,,,7.63381290435791,13.01229476928711,12.637335777282715,177.98992919921875,0.9278125,9.843739583333333e-05
,,,,,55062,250.0,2042,,,,,,
,,,,,55493,240.0,1730,,,,,,
,,,,,55927,270.0,1762,,,,,,
,,,,,56000,,,8.8132963180542,11.759475708007812,11.964941024780273,127.27117919921875,0.92575,9.833322916666668e-05
,,,,,56423,210.0,2002,,,,,,
,,,,,56982,400.0,2250,,,,,,
,,,,,57000,,,1.9855384826660156,10.504820823669434,9.488700866699219,218.78305053710938,0.9236875,9.82290625e-05
,,,,,57497,300.0,2066,,,,,,
,,,,,58000,,,11.331453323364258,14.263158798217773,14.030118942260742,162.63461303710938,0.921625,9.812489583333335e-05
,,,,,58020,230.0,2114,,,,,,
,,,,,58524,300.0,2018,,,,,,
,,,,,59000,,,29.645896911621094,13.46612548828125,14.779239654541016,232.3245391845703,0.9195625000000001,9.802072916666668e-05
,,,,,59070,320.0,2186,,,,,,
,,,,,59553,180.0,1938,,,,,,
325.0,46.314144,460.0,300.0,1882.0,60000,,,5.986264228820801,11.881332397460938,11.328475952148438,165.00640869140625,0.9175,9.79165625e-05
,,,,,60035,320.0,1954,,,,,,
,,,,,60491,190.0,1834,,,,,,
,,,,,61000,,,7.152310371398926,15.64203929901123,14.301336288452148,433.15716552734375,0.9154375,9.781239583333333e-05
,,,,,61087,230.0,2402,,,,,,
,,,,,61628,250.0,2186,,,,,,
,,,,,62000,,,7.059745788574219,15.079994201660156,16.149051666259766,401.1159973144531,0.913375,9.770822916666668e-05
,,,,,62066,260.0,1754,,,,,,
,,,,,62554,290.0,1954,,,,,,
,,,,,63000,,,5.601621627807617,17.586509704589844,16.788145065307617,278.52569580078125,0.9113125,9.76040625e-05
,,,,,63078,250.0,2114,,,,,,
,,,,,63440,240.0,1474,,,,,,
