Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen
31.9,10.014489,59.0,24.0,31.9,0,,
,,,,,15,16.0,16
,,,,,44,29.0,29
,,,,,70,26.0,26
,,,,,100,30.0,30
,,,,,111,11.0,11
,,,,,136,25.0,25
,,,,,154,18.0,18
,,,,,174,20.0,20
,,,,,198,24.0,24
,,,,,230,32.0,32
,,,,,248,18.0,18
,,,,,277,29.0,29
,,,,,295,18.0,18
,,,,,309,14.0,14
,,,,,343,34.0,34
,,,,,369,26.0,26
,,,,,388,19.0,19
,,,,,424,36.0,36
,,,,,433,9.0,9
,,,,,452,19.0,19
,,,,,470,18.0,18
,,,,,486,16.0,16
,,,,,500,14.0,14
,,,,,516,16.0,16
,,,,,529,13.0,13
,,,,,562,33.0,33
,,,,,589,27.0,27
,,,,,601,12.0,12
,,,,,631,30.0,30
,,,,,647,16.0,16
,,,,,660,13.0,13
,,,,,686,26.0,26
,,,,,709,23.0,23
,,,,,721,12.0,12
,,,,,767,46.0,46
,,,,,782,15.0,15
,,,,,801,19.0,19
,,,,,818,17.0,17
,,,,,836,18.0,18
,,,,,851,15.0,15
,,,,,862,11.0,11
,,,,,884,22.0,22
,,,,,915,31.0,31
,,,,,934,19.0,19
,,,,,946,12.0,12
,,,,,962,16.0,16
,,,,,989,27.0,27
