Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
36.4,14.677874,74.0,24.0,36.4,0,,,,,,,,
,,,,,15,16.0,16,,,,,,
,,,,,45,30.0,30,,,,,,
,,,,,94,49.0,49,,,,,,
,,,,,108,14.0,14,,,,,,
,,,,,129,21.0,21,,,,,,
,,,,,146,17.0,17,,,,,,
,,,,,177,31.0,31,,,,,,
,,,,,193,16.0,16,,,,,,
,,,,,217,24.0,24,,,,,,
,,,,,283,66.0,66,,,,,,
,,,,,295,12.0,12,,,,,,
,,,,,308,13.0,13,,,,,,
,,,,,345,37.0,37,,,,,,
,,,,,368,23.0,23,,,,,,
,,,,,383,15.0,15,,,,,,
,,,,,405,22.0,22,,,,,,
,,,,,420,15.0,15,,,,,,
,,,,,469,49.0,49,,,,,,
,,,,,487,18.0,18,,,,,,
,,,,,563,76.0,76,,,,,,
,,,,,588,25.0,25,,,,,,
,,,,,604,16.0,16,,,,,,
,,,,,622,18.0,18,,,,,,
,,,,,661,39.0,39,,,,,,
,,,,,691,30.0,30,,,,,,
,,,,,706,15.0,15,,,,,,
,,,,,722,16.0,16,,,,,,
,,,,,740,18.0,18,,,,,,
,,,,,806,66.0,66,,,,,,
,,,,,818,12.0,12,,,,,,
,,,,,833,15.0,15,,,,,,
,,,,,843,10.0,10,,,,,,
,,,,,862,19.0,19,,,,,,
,,,,,887,25.0,25,,,,,,
,,,,,928,41.0,41,,,,,,
,,,,,942,14.0,14,,,,,,
,,,,,961,19.0,19,,,,,,
,,,,,980,19.0,19,,,,,,
,,,,,1000,,,1.0913753509521484,0.07797238230705261,1.1184338331222534,2.8454763889312744,0.97,0.0005
,,,,,1001,21.0,21,,,,,,
,,,,,1016,15.0,15,,,,,,
,,,,,1041,25.0,25,,,,,,
,,,,,1063,22.0,22,,,,,,
,,,,,1076,13.0,13,,,,,,
,,,,,1093,17.0,17,,,,,,
,,,,,1138,45.0,45,,,,,,
,,,,,1158,20.0,20,,,,,,
,,,,,1191,33.0,33,,,,,,
,,,,,1220,29.0,29,,,,,,
,,,,,1232,12.0,12,,,,,,
,,,,,1248,16.0,16,,,,,,
,,,,,1262,14.0,14,,,,,,
,,,,,1277,15.0,15,,,,,,
,,,,,1312,35.0,35,,,,,,
,,,,,1324,12.0,12,,,,,,
,,,,,1344,20.0,20,,,,,,
,,,,,1360,16.0,16,,,,,,
,,,,,1371,11.0,11,,,,,,
,,,,,1381,10.0,10,,,,,,
,,,,,1399,18.0,18,,,,,,
,,,,,1410,11.0,11,,,,,,
,,,,,1429,19.0,19,,,,,,
,,,,,1455,26.0,26,,,,,,
,,,,,1479,24.0,24,,,,,,
,,,,,1491,12.0,12,,,,,,
,,,,,1508,17.0,17,,,,,,
,,,,,1517,9.0,9,,,,,,
,,,,,1557,40.0,40,,,,,,
,,,,,1590,33.0,33,,,,,,
,,,,,1605,15.0,15,,,,,,
,,,,,1629,24.0,24,,,,,,
,,,,,1649,20.0,20,,,,,,
,,,,,1702,53.0,53,,,,,,
,,,,,1713,11.0,11,,,,,,
,,,,,1775,62.0,62,,,,,,
,,,,,1798,23.0,23,,,,,,
,,,,,1827,29.0,29,,,,,,
,,,,,1839,12.0,12,,,,,,
,,,,,1855,16.0,16,,,,,,
,,,,,1867,12.0,12,,,,,,
,,,,,1881,14.0,14,,,,,,
,,,,,1907,26.0,26,,,,,,
,,,,,1928,21.0,21,,,,,,
,,,,,1954,26.0,26,,,,,,
,,,,,1983,29.0,29,,,,,,
,,,,,1995,12.0,12,,,,,,
,,,,,2000,,,0.003155662212520838,1.1438894271850586,1.1469179391860962,0.02462616376578808,0.94,0.0005
,,,,,2007,12.0,12,,,,,,
,,,,,2025,18.0,18,,,,,,
,,,,,2041,16.0,16,,,,,,
,,,,,2058,17.0,17,,,,,,
,,,,,2080,22.0,22,,,,,,
,,,,,2093,13.0,13,,,,,,
,,,,,2119,26.0,26,,,,,,
,,,,,2140,21.0,21,,,,,,
,,,,,2152,12.0,12,,,,,,
,,,,,2173,21.0,21,,,,,,
,,,,,2186,13.0,13,,,,,,
,,,,,2200,14.0,14,,,,,,
,,,,,2217,17.0,17,,,,,,
,,,,,2236,19.0,19,,,,,,
,,,,,2258,22.0,22,,,,,,
,,,,,2271,13.0,13,,,,,,
,,,,,2289,18.0,18,,,,,,
,,,,,2311,22.0,22,,,,,,
,,,,,2324,13.0,13,,,,,,
,,,,,2357,33.0,33,,,,,,
,,,,,2384,27.0,27,,,,,,
,,,,,2408,24.0,24,,,,,,
,,,,,2420,12.0,12,,,,,,
