Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
-241.71858,58.920044,-145.46234,-331.7727,1000.0,0,,,,,,,,,,
,,,,,999,-465.66608,1000,,,,,,,,
,,,,,1999,-268.185,1000,,,,,,,,
,,,,,2999,-271.92798,1000,,,,,,,,
,,,,,3999,-175.05663,1000,,,,,,,,
,,,,,4999,-325.7463,1000,,,,,,,,
-228.09756,52.485367,-152.53549,-332.05487,1000.0,5000,,,,,,,,,,
,,,,,5999,-254.92435,1000,,,,,,,,
,,,,,6999,-276.09085,1000,,,,,,,,
,,,,,7999,-195.8748,1000,,,,,,,,
,,,,,8999,-174.78065,1000,,,,,,,,
,,,,,9999,-273.21027,1000,,,,,,,,
-251.71968,65.77126,-170.39095,-376.35873,1000.0,10000,,,-0.3605998754501343,3.712705612182617,0.4079247713088989,-0.013409202918410301,0.08311919867992401,0.0003,0.0003,0.1
,,,,,10999,-171.43411,1000,,,,,,,,
,,,,,11000,,,-2.4009671211242676,2.1935744285583496,0.4244442880153656,1.6647186279296875,1.7000569105148315,0.0003,0.0003,0.1
,,,,,11999,-231.79404,1000,,,,,,,,
,,,,,12000,,,-3.590622901916504,3.1945528984069824,0.6328816413879395,3.0713491439819336,3.0288920402526855,0.0003,0.0003,0.1
,,,,,12999,-192.8214,1000,,,,,,,,
,,,,,13000,,,-5.095861434936523,2.4032094478607178,0.6279493570327759,4.444849967956543,4.27476692199707,0.0003,0.0003,0.1
,,,,,13999,-206.97646,1000,,,,,,,,
,,,,,14000,,,-7.439359188079834,2.3710989952087402,0.8223825693130493,6.745670318603516,6.642355442047119,0.0003,0.0003,0.1
,,,,,14999,-209.25572,1000,,,,,,,,
-191.35738,25.678438,-159.56992,-229.19067,1000.0,15000,,,-8.716415405273438,2.160104513168335,0.606065571308136,7.851724624633789,7.972922325134277,0.0003,0.0003,0.1
,,,,,15999,-145.08398,1000,,,,,,,,
,,,,,16000,,,-10.918773651123047,2.131295680999756,0.5792603492736816,10.074882507324219,10.202699661254883,0.0003,0.0003,0.1
,,,,,16999,-138.9522,1000,,,,,,,,
,,,,,17000,,,-13.363426208496094,2.30261492729187,0.42850470542907715,12.653247833251953,12.594188690185547,0.0003,0.0003,0.1
,,,,,17999,-138.82355,1000,,,,,,,,
,,,,,18000,,,-14.352926254272461,2.2587478160858154,0.39243075251579285,13.662223815917969,13.67213249206543,0.0003,0.0003,0.1
,,,,,18999,-33.339184,1000,,,,,,,,
,,,,,19000,,,-16.61743927001953,2.3384060859680176,0.4279559850692749,15.782692909240723,15.836804389953613,0.0003,0.0003,0.1
,,,,,19999,-3.4421587,1000,,,,,,,,
178.01585,138.3045,338.3029,-8.740652,1000.0,20000,,,-17.542619705200195,2.20497727394104,0.3617456257343292,16.882530212402344,16.85419273376465,0.0003,0.0003,0.1
,,,,,20999,97.68542,1000,,,,,,,,
,,,,,21000,,,-20.557361602783203,1.915371298789978,0.3727908730506897,19.768287658691406,19.71717643737793,0.0003,0.0003,0.1
,,,,,21999,391.80222,1000,,,,,,,,
,,,,,22000,,,-21.74490737915039,1.9710315465927124,0.38167428970336914,20.94559097290039,20.916873931884766,0.0003,0.0003,0.1
,,,,,22999,210.5315,1000,,,,,,,,
,,,,,23000,,,-22.498363494873047,1.8999720811843872,0.4774862825870514,21.805538177490234,21.70716094970703,0.0003,0.0003,0.1
,,,,,23999,406.97202,1000,,,,,,,,
,,,,,24000,,,-23.93181610107422,1.40854811668396,0.42491087317466736,23.23895263671875,23.228633880615234,0.0003,0.0003,0.1
,,,,,24999,673.2842,1000,,,,,,,,
475.76987,220.27559,887.28827,228.34616,1000.0,25000,,,-26.794145584106445,1.7075366973876953,0.3225211501121521,26.092491149902344,26.171602249145508,0.0003,0.0003,0.1
,,,,,25999,992.2563,1000,,,,,,,,
,,,,,26000,,,-30.462955474853516,1.3070342540740967,0.4700930714607239,29.522537231445312,29.675640106201172,0.0003,0.0003,0.1
,,,,,26999,777.7438,1000,,,,,,,,
,,,,,27000,,,-32.123443603515625,0.8838324546813965,0.4633897542953491,31.280946731567383,31.316261291503906,0.0003,0.0003,0.1
,,,,,27999,1137.976,1000,,,,,,,,
,,,,,28000,,,-34.256561279296875,0.9842702746391296,0.604565441608429,33.46282958984375,33.37918472290039,0.0003,0.0003,0.1
,,,,,28999,718.0939,1000,,,,,,,,
,,,,,29000,,,-39.0060920715332,0.4266449809074402,0.5079030990600586,38.049156188964844,38.091758728027344,0.0003,0.0003,0.1
,,,,,29999,1334.8193,1000,,,,,,,,
1323.2546,133.16176,1507.259,1041.196,1000.0,30000,,,-43.142601013183594,0.2337021827697754,0.6007933616638184,42.09185791015625,42.1632080078125,0.0003,0.0003,0.1
,,,,,30999,908.2932,1000,,,,,,,,
,,,,,31000,,,-46.321266174316406,0.4566001296043396,0.5370672941207886,45.465721130371094,45.513790130615234,0.0003,0.0003,0.1
,,,,,31999,1418.6879,1000,,,,,,,,
,,,,,32000,,,-50.044166564941406,-0.049640953540802,0.5660296678543091,49.05966567993164,49.008331298828125,0.0003,0.0003,0.1
,,,,,32999,829.3851,1000,,,,,,,,
,,,,,33000,,,-49.68631362915039,0.436485230922699,0.5947304368019104,48.796390533447266,48.84814453125,0.0003,0.0003,0.1
,,,,,33999,1555.3463,1000,,,,,,,,
,,,,,34000,,,-54.334373474121094,0.2573554217815399,0.6590965986251831,53.45885467529297,53.37294387817383,0.0003,0.0003,0.1
,,,,,34999,1641.3812,1000,,,,,,,,
1590.814,255.5122,1733.4054,827.5938,1000.0,35000,,,-59.20922088623047,0.23653417825698853,0.5909721851348877,58.27299880981445,58.193504333496094,0.0003,0.0003,0.1
,,,,,35999,1690.9058,1000,,,,,,,,
,,,,,36000,,,-64.15975952148438,-0.19468852877616882,0.5451366901397705,63.0512580871582,63.154319763183594,0.0003,0.0003,0.1
,,,,,36999,1666.7666,1000,,,,,,,,
,,,,,37000,,,-66.60765075683594,0.16492989659309387,0.5207964181900024,65.84082794189453,65.65882110595703,0.0003,0.0003,0.1
,,,,,37999,1837.6365,1000,,,,,,,,
,,,,,38000,,,-70.65345001220703,-0.1787814199924469,0.5395610928535461,69.57193756103516,69.57112121582031,0.0003,0.0003,0.1
,,,,,38999,1918.1091,1000,,,,,,,,
,,,,,39000,,,-80.16251373291016,-0.4044263958930969,0.6643447279930115,79.0166015625,79.26673889160156,0.0003,0.0003,0.1
,,,,,39999,727.825,1000,,,,,,,,
1904.6013,91.84281,2023.2485,1653.3439,1000.0,40000,,,-74.662109375,-0.48498982191085815,0.5828604102134705,73.62622833251953,73.61895751953125,0.0003,0.0003,0.1
,,,,,40999,2031.4935,1000,,,,,,,,
,,,,,41000,,,-81.56817626953125,-0.21005120873451233,0.6832341551780701,80.65498352050781,80.61506652832031,0.0003,0.0003,0.1
,,,,,41999,2033.9586,1000,,,,,,,,
,,,,,42000,,,-85.32980346679688,-0.49510177969932556,0.6807289719581604,84.46229553222656,84.28691864013672,0.0003,0.0003,0.1
,,,,,42999,2129.2485,1000,,,,,,,,
,,,,,43000,,,-85.19794464111328,-0.557155966758728,0.9131567478179932,84.3354721069336,84.37173461914062,0.0003,0.0003,0.1
,,,,,43999,2103.6301,1000,,,,,,,,
,,,,,44000,,,-93.61019897460938,-0.6193875074386597,0.6155027151107788,92.53286743164062,92.50652313232422,0.0003,0.0003,0.1
,,,,,44999,2145.9783,1000,,,,,,,,
1964.2458,537.7332,2292.0845,727.3127,1000.0,45000,,,-99.0749740600586,-0.5416157245635986,0.7577385306358337,97.97415161132812,97.94631958007812,0.0003,0.0003,0.1
,,,,,45999,2296.749,1000,,,,,,,,
,,,,,46000,,,-100.91777038574219,-0.626903772354126,0.6505826115608215,99.95557403564453,99.96188354492188,0.0003,0.0003,0.1
,,,,,46999,962.16956,1000,,,,,,,,
,,,,,47000,,,-103.77605438232422,-1.008460283279419,0.7469193935394287,102.73668670654297,102.73170471191406,0.0003,0.0003,0.1
,,,,,47999,2356.6326,1000,,,,,,,,
,,,,,48000,,,-108.8563232421875,-0.9033783674240112,0.6846866607666016,107.881103515625,107.99861145019531,0.0003,0.0003,0.1
,,,,,48999,2341.709,1000,,,,,,,,
,,,,,49000,,,-110.28982543945312,-0.7711814045906067,0.7499905824661255,109.08261108398438,109.06195831298828,0.0003,0.0003,0.1
,,,,,49999,789.8256,1000,,,,,,,,
2282.3657,322.9665,2517.325,1645.4899,1000.0,50000,,,-109.9561996459961,-0.8673365116119385,0.7515857219696045,108.6944808959961,108.79751586914062,0.0003,0.0003,0.1
,,,,,50999,2128.7366,1000,,,,,,,,
,,,,,51000,,,-118.34317779541016,-0.9879403114318848,0.7555019855499268,117.36768341064453,117.32701110839844,0.0003,0.0003,0.1
,,,,,51999,2525.5237,1000,,,,,,,,
,,,,,52000,,,-122.2548828125,-0.7869857549667358,0.5553738474845886,121.32686614990234,121.4454345703125,0.0003,0.0003,0.1
,,,,,52999,2514.1355,1000,,,,,,,,
,,,,,53000,,,-125.23250579833984,-0.8882417678833008,0.6231796741485596,124.30662536621094,124.23068237304688,0.0003,0.0003,0.1
,,,,,53999,2526.634,1000,,,,,,,,
,,,,,54000,,,-127.43629455566406,-0.6404151320457458,0.6643391847610474,126.31425476074219,126.38956451416016,0.0003,0.0003,0.1
,,,,,54999,2543.931,1000,,,,,,,,
