Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
22.816113,19.221657,78.48281,9.897337,22.3,0,,,,,,,,,,
,,,,,38,32.560093,39,,,,,,,,
,,,,,52,12.723348,14,,,,,,,,
,,,,,74,13.594802,22,,,,,,,,
,,,,,97,21.04625,23,,,,,,,,
,,,,,141,39.156933,44,,,,,,,,
,,,,,164,16.282236,23,,,,,,,,
,,,,,194,15.863021,30,,,,,,,,
,,,,,214,14.757389,20,,,,,,,,
,,,,,230,12.679639,16,,,,,,,,
,,,,,282,30.751337,52,,,,,,,,
,,,,,292,7.370962,10,,,,,,,,
,,,,,301,6.6927,9,,,,,,,,
,,,,,319,13.966857,18,,,,,,,,
,,,,,343,11.883785,24,,,,,,,,
,,,,,384,35.60109,41,,,,,,,,
,,,,,416,19.18307,32,,,,,,,,
,,,,,431,8.69928,15,,,,,,,,
,,,,,440,5.7765102,9,,,,,,,,
,,,,,451,8.315724,11,,,,,,,,
,,,,,470,11.02086,19,,,,,,,,
,,,,,489,19.098845,19,,,,,,,,
,,,,,506,18.113213,17,,,,,,,,
,,,,,527,18.792336,21,,,,,,,,
,,,,,545,15.158744,18,,,,,,,,
,,,,,564,14.194588,19,,,,,,,,
,,,,,576,10.710877,12,,,,,,,,
,,,,,591,10.535314,15,,,,,,,,
,,,,,605,14.1770115,14,,,,,,,,
,,,,,627,8.83627,22,,,,,,,,
,,,,,661,14.965351,34,,,,,,,,
,,,,,675,11.507595,14,,,,,,,,
,,,,,689,13.22314,14,,,,,,,,
,,,,,720,19.172392,31,,,,,,,,
,,,,,734,11.392289,14,,,,,,,,
,,,,,750,9.01037,16,,,,,,,,
,,,,,764,10.475382,14,,,,,,,,
,,,,,782,15.266661,18,,,,,,,,
,,,,,799,10.289552,17,,,,,,,,
,,,,,817,9.47059,18,,,,,,,,
,,,,,833,5.2089562,16,,,,,,,,
,,,,,846,12.177913,13,,,,,,,,
,,,,,860,9.416247,14,,,,,,,,
,,,,,874,12.038869,14,,,,,,,,
,,,,,886,9.854575,12,,,,,,,,
,,,,,901,15.042553,15,,,,,,,,
,,,,,919,12.798504,18,,,,,,,,
,,,,,930,8.765747,11,,,,,,,,
,,,,,960,11.835471,30,,,,,,,,
,,,,,996,22.248837,36,,,,,,,,
,,,,,1013,6.2079296,17,,,,,,,,
,,,,,1032,14.272781,19,,,,,,,,
,,,,,1047,14.24219,15,,,,,,,,
,,,,,1058,9.086277,11,,,,,,,,
,,,,,1082,14.884153,24,,,,,,,,
,,,,,1105,20.535227,23,,,,,,,,
,,,,,1122,16.047533,17,,,,,,,,
,,,,,1185,55.538567,63,,,,,,,,
,,,,,1215,21.541924,30,,,,,,,,
,,,,,1245,11.802326,30,,,,,,,,
,,,,,1263,17.998154,18,,,,,,,,
,,,,,1274,8.0815115,11,,,,,,,,
,,,,,1287,10.398218,13,,,,,,,,
,,,,,1313,24.758406,26,,,,,,,,
,,,,,1325,10.295827,12,,,,,,,,
,,,,,1339,7.7288046,14,,,,,,,,
,,,,,1351,10.73964,12,,,,,,,,
,,,,,1367,10.200447,16,,,,,,,,
,,,,,1388,19.015072,21,,,,,,,,
,,,,,1404,8.081884,16,,,,,,,,
,,,,,1434,34.723587,30,,,,,,,,
,,,,,1494,82.80455,60,,,,,,,,
,,,,,1519,11.976399,25,,,,,,,,
,,,,,1542,17.276514,23,,,,,,,,
,,,,,1575,30.512157,33,,,,,,,,
,,,,,1586,6.2576137,11,,,,,,,,
,,,,,1605,19.718994,19,,,,,,,,
,,,,,1631,25.639091,26,,,,,,,,
,,,,,1665,35.05872,34,,,,,,,,
,,,,,1698,37.721638,33,,,,,,,,
,,,,,1742,26.193584,44,,,,,,,,
,,,,,1759,9.1646185,17,,,,,,,,
,,,,,1781,6.2634163,22,,,,,,,,
,,,,,1799,18.180195,18,,,,,,,,
,,,,,1816,9.01713,17,,,,,,,,
,,,,,1832,15.008453,16,,,,,,,,
,,,,,1845,9.194861,13,,,,,,,,
,,,,,1859,10.635438,14,,,,,,,,
,,,,,1874,13.9054575,15,,,,,,,,
,,,,,1898,19.52173,24,,,,,,,,
,,,,,1914,7.23521,16,,,,,,,,
,,,,,1941,12.718244,27,,,,,,,,
,,,,,1961,18.61222,20,,,,,,,,
,,,,,1978,13.583154,17,,,,,,,,
,,,,,2039,90.604065,61,,,,,,,,
,,,,,2066,12.939131,27,,,,,,,,
,,,,,2091,17.3985,25,,,,,,,,
,,,,,2119,16.269695,28,,,,,,,,
,,,,,2152,31.826578,33,,,,,,,,
,,,,,2173,14.664879,21,,,,,,,,
,,,,,2196,10.701486,23,,,,,,,,
,,,,,2227,27.274666,31,,,,,,,,
,,,,,2250,20.329552,23,,,,,,,,
,,,,,2278,32.76799,28,,,,,,,,
,,,,,2309,38.11421,31,,,,,,,,
,,,,,2334,21.176126,25,,,,,,,,
,,,,,2360,17.482939,26,,,,,,,,
,,,,,2376,9.350632,16,,,,,,,,
,,,,,2394,15.079916,18,,,,,,,,
,,,,,2414,19.51143,20,,,,,,,,
,,,,,2424,7.7788343,10,,,,,,,,
,,,,,2443,11.160007,19,,,,,,,,
,,,,,2464,16.704525,21,,,,,,,,
,,,,,2482,12.210785,18,,,,,,,,
,,,,,2517,30.012398,35,,,,,,,,
,,,,,2529,8.981241,12,,,,,,,,
,,,,,2561,40.327667,32,,,,,,,,
,,,,,2575,9.16722,14,,,,,,,,
,,,,,2598,24.00579,23,,,,,,,,
,,,,,2613,14.380817,15,,,,,,,,
,,,,,2632,11.237247,19,,,,,,,,
,,,,,2647,9.353705,15,,,,,,,,
,,,,,2658,8.75794,11,,,,,,,,
,,,,,2672,8.971898,14,,,,,,,,
,,,,,2691,11.162249,19,,,,,,,,
,,,,,2720,14.477332,29,,,,,,,,
,,,,,2746,10.896071,26,,,,,,,,
,,,,,2761,8.996869,15,,,,,,,,
,,,,,2776,14.698644,15,,,,,,,,
,,,,,2793,15.677857,17,,,,,,,,
,,,,,2814,10.212833,21,,,,,,,,
,,,,,2831,14.467616,17,,,,,,,,
