Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,alpha,alpha_loss,actor_lr,critic_lr,temperature
7.2,5.173007,19.0,3.0,7.2,0,,,,,,,,,,,,
,,,,,2,3.0,3,,,,,,,,,,
,,,,,6,4.0,4,,,,,,,,,,
,,,,,13,7.0,7,,,,,,,,,,
,,,,,29,16.0,16,,,,,,,,,,
,,,,,33,4.0,4,,,,,,,,,,
,,,,,37,4.0,4,,,,,,,,,,
,,,,,44,7.0,7,,,,,,,,,,
,,,,,47,3.0,3,,,,,,,,,,
,,,,,55,8.0,8,,,,,,,,,,
,,,,,58,3.0,3,,,,,,,,,,
,,,,,62,4.0,4,,,,,,,,,,
,,,,,68,6.0,6,,,,,,,,,,
,,,,,71,3.0,3,,,,,,,,,,
,,,,,78,7.0,7,,,,,,,,,,
,,,,,85,7.0,7,,,,,,,,,,
,,,,,90,5.0,5,,,,,,,,,,
,,,,,95,5.0,5,,,,,,,,,,
,,,,,100,5.0,5,,,,,,,,,,
,,,,,106,6.0,6,,,,,,,,,,
,,,,,117,11.0,11,,,,,,,,,,
,,,,,120,3.0,3,,,,,,,,,,
,,,,,125,5.0,5,,,,,,,,,,
,,,,,128,3.0,3,,,,,,,,,,
,,,,,133,5.0,5,,,,,,,,,,
,,,,,136,3.0,3,,,,,,,,,,
,,,,,139,3.0,3,,,,,,,,,,
,,,,,143,4.0,4,,,,,,,,,,
,,,,,146,3.0,3,,,,,,,,,,
,,,,,152,6.0,6,,,,,,,,,,
,,,,,161,9.0,9,,,,,,,,,,
,,,,,165,4.0,4,,,,,,,,,,
,,,,,168,3.0,3,,,,,,,,,,
,,,,,173,5.0,5,,,,,,,,,,
,,,,,189,16.0,16,,,,,,,,,,
,,,,,193,4.0,4,,,,,,,,,,
,,,,,198,5.0,5,,,,,,,,,,
,,,,,201,3.0,3,,,,,,,,,,
,,,,,205,4.0,4,,,,,,,,,,
,,,,,212,7.0,7,,,,,,,,,,
,,,,,229,17.0,17,,,,,,,,,,
,,,,,235,6.0,6,,,,,,,,,,
,,,,,240,5.0,5,,,,,,,,,,
,,,,,245,5.0,5,,,,,,,,,,
,,,,,248,3.0,3,,,,,,,,,,
,,,,,253,5.0,5,,,,,,,,,,
,,,,,259,6.0,6,,,,,,,,,,
,,,,,262,3.0,3,,,,,,,,,,
,,,,,267,5.0,5,,,,,,,,,,
,,,,,273,6.0,6,,,,,,,,,,
,,,,,279,6.0,6,,,,,,,,,,
,,,,,287,8.0,8,,,,,,,,,,
,,,,,294,7.0,7,,,,,,,,,,
,,,,,305,11.0,11,,,,,,,,,,
,,,,,309,4.0,4,,,,,,,,,,
,,,,,315,6.0,6,,,,,,,,,,
,,,,,319,4.0,4,,,,,,,,,,
,,,,,325,6.0,6,,,,,,,,,,
,,,,,333,8.0,8,,,,,,,,,,
,,,,,337,4.0,4,,,,,,,,,,
,,,,,343,6.0,6,,,,,,,,,,
,,,,,346,3.0,3,,,,,,,,,,
,,,,,349,3.0,3,,,,,,,,,,
,,,,,353,4.0,4,,,,,,,,,,
,,,,,356,3.0,3,,,,,,,,,,
,,,,,360,4.0,4,,,,,,,,,,
,,,,,365,5.0,5,,,,,,,,,,
,,,,,370,5.0,5,,,,,,,,,,
,,,,,375,5.0,5,,,,,,,,,,
,,,,,380,5.0,5,,,,,,,,,,
,,,,,388,8.0,8,,,,,,,,,,
,,,,,393,5.0,5,,,,,,,,,,
,,,,,396,3.0,3,,,,,,,,,,
,,,,,400,4.0,4,,,,,,,,,,
,,,,,404,4.0,4,,,,,,,,,,
,,,,,416,12.0,12,,,,,,,,,,
,,,,,422,6.0,6,,,,,,,,,,
,,,,,426,4.0,4,,,,,,,,,,
,,,,,434,8.0,8,,,,,,,,,,
,,,,,437,3.0,3,,,,,,,,,,
,,,,,443,6.0,6,,,,,,,,,,
,,,,,446,3.0,3,,,,,,,,,,
,,,,,449,3.0,3,,,,,,,,,,
,,,,,452,3.0,3,,,,,,,,,,
,,,,,456,4.0,4,,,,,,,,,,
,,,,,460,4.0,4,,,,,,,,,,
,,,,,467,7.0,7,,,,,,,,,,
,,,,,471,4.0,4,,,,,,,,,,
,,,,,476,5.0,5,,,,,,,,,,
,,,,,489,13.0,13,,,,,,,,,,
,,,,,495,6.0,6,,,,,,,,,,
,,,,,498,3.0,3,,,,,,,,,,
,,,,,502,4.0,4,,,,,,,,,,
,,,,,505,3.0,3,,,,,,,,,,
,,,,,508,3.0,3,,,,,,,,,,
,,,,,511,3.0,3,,,,,,,,,,
,,,,,521,10.0,10,,,,,,,,,,
,,,,,541,20.0,20,,,,,,,,,,
,,,,,545,4.0,4,,,,,,,,,,
,,,,,551,6.0,6,,,,,,,,,,
,,,,,555,4.0,4,,,,,,,,,,
,,,,,559,4.0,4,,,,,,,,,,
,,,,,566,7.0,7,,,,,,,,,,
,,,,,569,3.0,3,,,,,,,,,,
,,,,,583,14.0,14,,,,,,,,,,
,,,,,589,6.0,6,,,,,,,,,,
,,,,,601,12.0,12,,,,,,,,,,
,,,,,604,3.0,3,,,,,,,,,,
,,,,,610,6.0,6,,,,,,,,,,
,,,,,615,5.0,5,,,,,,,,,,
,,,,,624,9.0,9,,,,,,,,,,
,,,,,639,15.0,15,,,,,,,,,,
,,,,,642,3.0,3,,,,,,,,,,
,,,,,651,9.0,9,,,,,,,,,,
,,,,,656,5.0,5,,,,,,,,,,
,,,,,677,21.0,21,,,,,,,,,,
,,,,,681,4.0,4,,,,,,,,,,
,,,,,690,9.0,9,,,,,,,,,,
,,,,,694,4.0,4,,,,,,,,,,
,,,,,697,3.0,3,,,,,,,,,,
,,,,,702,5.0,5,,,,,,,,,,
,,,,,706,4.0,4,,,,,,,,,,
,,,,,709,3.0,3,,,,,,,,,,
,,,,,718,9.0,9,,,,,,,,,,
,,,,,728,10.0,10,,,,,,,,,,
,,,,,737,9.0,9,,,,,,,,,,
,,,,,748,11.0,11,,,,,,,,,,
,,,,,751,3.0,3,,,,,,,,,,
,,,,,755,4.0,4,,,,,,,,,,
,,,,,758,3.0,3,,,,,,,,,,
,,,,,761,3.0,3,,,,,,,,,,
,,,,,768,7.0,7,,,,,,,,,,
,,,,,773,5.0,5,,,,,,,,,,
,,,,,785,12.0,12,,,,,,,,,,
,,,,,794,9.0,9,,,,,,,,,,
,,,,,798,4.0,4,,,,,,,,,,
,,,,,804,6.0,6,,,,,,,,,,
,,,,,807,3.0,3,,,,,,,,,,
,,,,,812,5.0,5,,,,,,,,,,
,,,,,817,5.0,5,,,,,,,,,,
,,,,,824,7.0,7,,,,,,,,,,
,,,,,828,4.0,4,,,,,,,,,,
,,,,,832,4.0,4,,,,,,,,,,
,,,,,836,4.0,4,,,,,,,,,,
,,,,,839,3.0,3,,,,,,,,,,
,,,,,848,9.0,9,,,,,,,,,,
,,,,,851,3.0,3,,,,,,,,,,
,,,,,868,17.0,17,,,,,,,,,,
,,,,,875,7.0,7,,,,,,,,,,
,,,,,878,3.0,3,,,,,,,,,,
,,,,,883,5.0,5,,,,,,,,,,
,,,,,887,4.0,4,,,,,,,,,,
,,,,,892,5.0,5,,,,,,,,,,
,,,,,897,5.0,5,,,,,,,,,,
,,,,,900,3.0,3,,,,,,,,,,
,,,,,904,4.0,4,,,,,,,,,,
,,,,,908,4.0,4,,,,,,,,,,
,,,,,912,4.0,4,,,,,,,,,,
,,,,,919,7.0,7,,,,,,,,,,
,,,,,925,6.0,6,,,,,,,,,,
,,,,,928,3.0,3,,,,,,,,,,
,,,,,933,5.0,5,,,,,,,,,,
,,,,,945,12.0,12,,,,,,,,,,
,,,,,949,4.0,4,,,,,,,,,,
,,,,,954,5.0,5,,,,,,,,,,
,,,,,958,4.0,4,,,,,,,,,,
,,,,,966,8.0,8,,,,,,,,,,
,,,,,970,4.0,4,,,,,,,,,,
,,,,,975,5.0,5,,,,,,,,,,
,,,,,978,3.0,3,,,,,,,,,,
,,,,,985,7.0,7,,,,,,,,,,
,,,,,992,7.0,7,,,,,,,,,,
,,,,,999,7.0,7,,,,,,,,,,
,,,,,1002,3.0,3,,,,,,,,,,
,,,,,1005,3.0,3,,,,,,,,,,
,,,,,1009,4.0,4,,,,,,,,,,
,,,,,1020,11.0,11,,,,,,,,,,
,,,,,1026,6.0,6,,,,,,,,,,
,,,,,1031,5.0,5,,,,,,,,,,
,,,,,1034,3.0,3,,,,,,,,,,
,,,,,1038,4.0,4,,,,,,,,,,
,,,,,1041,3.0,3,,,,,,,,,,
