Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
6.8,4.0199504,15.0,3.0,6.8,0,,,,,,,,
,,,,,10,11.0,11,,,,,,
,,,,,20,10.0,10,,,,,,
,,,,,30,10.0,10,,,,,,
,,,,,37,7.0,7,,,,,,
,,,,,42,5.0,5,,,,,,
,,,,,45,3.0,3,,,,,,
,,,,,49,4.0,4,,,,,,
,,,,,55,6.0,6,,,,,,
,,,,,60,5.0,5,,,,,,
,,,,,66,6.0,6,,,,,,
,,,,,77,11.0,11,,,,,,
,,,,,88,11.0,11,,,,,,
,,,,,91,3.0,3,,,,,,
,,,,,95,4.0,4,,,,,,
,,,,,108,13.0,13,,,,,,
,,,,,119,11.0,11,,,,,,
,,,,,123,4.0,4,,,,,,
,,,,,126,3.0,3,,,,,,
,,,,,136,10.0,10,,,,,,
,,,,,141,5.0,5,,,,,,
,,,,,150,9.0,9,,,,,,
,,,,,157,7.0,7,,,,,,
,,,,,163,6.0,6,,,,,,
,,,,,169,6.0,6,,,,,,
,,,,,174,5.0,5,,,,,,
,,,,,178,4.0,4,,,,,,
,,,,,188,10.0,10,,,,,,
,,,,,194,6.0,6,,,,,,
,,,,,212,18.0,18,,,,,,
,,,,,215,3.0,3,,,,,,
,,,,,220,5.0,5,,,,,,
,,,,,224,4.0,4,,,,,,
,,,,,233,9.0,9,,,,,,
,,,,,239,6.0,6,,,,,,
,,,,,246,7.0,7,,,,,,
,,,,,251,5.0,5,,,,,,
,,,,,259,8.0,8,,,,,,
,,,,,266,7.0,7,,,,,,
,,,,,270,4.0,4,,,,,,
,,,,,275,5.0,5,,,,,,
,,,,,283,8.0,8,,,,,,
,,,,,309,26.0,26,,,,,,
,,,,,316,7.0,7,,,,,,
,,,,,320,4.0,4,,,,,,
,,,,,326,6.0,6,,,,,,
,,,,,329,3.0,3,,,,,,
,,,,,335,6.0,6,,,,,,
,,,,,339,4.0,4,,,,,,
,,,,,343,4.0,4,,,,,,
,,,,,346,3.0,3,,,,,,
,,,,,349,3.0,3,,,,,,
,,,,,358,9.0,9,,,,,,
,,,,,361,3.0,3,,,,,,
,,,,,366,5.0,5,,,,,,
,,,,,371,5.0,5,,,,,,
,,,,,374,3.0,3,,,,,,
,,,,,378,4.0,4,,,,,,
,,,,,390,12.0,12,,,,,,
,,,,,393,3.0,3,,,,,,
,,,,,398,5.0,5,,,,,,
,,,,,404,6.0,6,,,,,,
,,,,,409,5.0,5,,,,,,
,,,,,413,4.0,4,,,,,,
,,,,,416,3.0,3,,,,,,
,,,,,420,4.0,4,,,,,,
,,,,,426,6.0,6,,,,,,
,,,,,429,3.0,3,,,,,,
,,,,,433,4.0,4,,,,,,
,,,,,444,11.0,11,,,,,,
,,,,,451,7.0,7,,,,,,
,,,,,461,10.0,10,,,,,,
,,,,,465,4.0,4,,,,,,
,,,,,479,14.0,14,,,,,,
,,,,,484,5.0,5,,,,,,
,,,,,492,8.0,8,,,,,,
,,,,,507,15.0,15,,,,,,
,,,,,514,7.0,7,,,,,,
,,,,,523,9.0,9,,,,,,
,,,,,528,5.0,5,,,,,,
,,,,,533,5.0,5,,,,,,
,,,,,536,3.0,3,,,,,,
,,,,,552,16.0,16,,,,,,
,,,,,557,5.0,5,,,,,,
,,,,,563,6.0,6,,,,,,
,,,,,569,6.0,6,,,,,,
,,,,,573,4.0,4,,,,,,
,,,,,580,7.0,7,,,,,,
,,,,,584,4.0,4,,,,,,
,,,,,587,3.0,3,,,,,,
,,,,,596,9.0,9,,,,,,
,,,,,599,3.0,3,,,,,,
,,,,,609,10.0,10,,,,,,
,,,,,616,7.0,7,,,,,,
,,,,,621,5.0,5,,,,,,
,,,,,625,4.0,4,,,,,,
,,,,,628,3.0,3,,,,,,
,,,,,634,6.0,6,,,,,,
,,,,,637,3.0,3,,,,,,
,,,,,650,13.0,13,,,,,,
,,,,,661,11.0,11,,,,,,
,,,,,668,7.0,7,,,,,,
,,,,,672,4.0,4,,,,,,
,,,,,677,5.0,5,,,,,,
,,,,,684,7.0,7,,,,,,
,,,,,689,5.0,5,,,,,,
,,,,,693,4.0,4,,,,,,
,,,,,702,9.0,9,,,,,,
,,,,,711,9.0,9,,,,,,
,,,,,715,4.0,4,,,,,,
,,,,,720,5.0,5,,,,,,
,,,,,729,9.0,9,,,,,,
,,,,,733,4.0,4,,,,,,
,,,,,743,10.0,10,,,,,,
,,,,,750,7.0,7,,,,,,
,,,,,762,12.0,12,,,,,,
,,,,,765,3.0,3,,,,,,
,,,,,771,6.0,6,,,,,,
,,,,,779,8.0,8,,,,,,
,,,,,787,8.0,8,,,,,,
,,,,,801,14.0,14,,,,,,
,,,,,804,3.0,3,,,,,,
,,,,,809,5.0,5,,,,,,
,,,,,813,4.0,4,,,,,,
,,,,,818,5.0,5,,,,,,
,,,,,822,4.0,4,,,,,,
,,,,,826,4.0,4,,,,,,
,,,,,831,5.0,5,,,,,,
,,,,,836,5.0,5,,,,,,
,,,,,842,6.0,6,,,,,,
,,,,,847,5.0,5,,,,,,
,,,,,850,3.0,3,,,,,,
,,,,,860,10.0,10,,,,,,
,,,,,864,4.0,4,,,,,,
,,,,,871,7.0,7,,,,,,
,,,,,876,5.0,5,,,,,,
,,,,,882,6.0,6,,,,,,
,,,,,885,3.0,3,,,,,,
,,,,,897,12.0,12,,,,,,
,,,,,903,6.0,6,,,,,,
,,,,,907,4.0,4,,,,,,
,,,,,910,3.0,3,,,,,,
,,,,,926,16.0,16,,,,,,
,,,,,931,5.0,5,,,,,,
,,,,,934,3.0,3,,,,,,
,,,,,941,7.0,7,,,,,,
,,,,,944,3.0,3,,,,,,
,,,,,947,3.0,3,,,,,,
,,,,,953,6.0,6,,,,,,
,,,,,963,10.0,10,,,,,,
,,,,,967,4.0,4,,,,,,
,,,,,970,3.0,3,,,,,,
,,,,,983,13.0,13,,,,,,
,,,,,991,8.0,8,,,,,,
,,,,,997,6.0,6,,,,,,
,,,,,1004,7.0,7,,,,,,
,,,,,1010,6.0,6,,,,,,
,,,,,1013,3.0,3,,,,,,
,,,,,1025,12.0,12,,,,,,
,,,,,1030,5.0,5,,,,,,
,,,,,1035,5.0,5,,,,,,
,,,,,1038,3.0,3,,,,,,
,,,,,1042,4.0,4,,,,,,
,,,,,1045,3.0,3,,,,,,
,,,,,1063,18.0,18,,,,,,
,,,,,1076,13.0,13,,,,,,
,,,,,1083,7.0,7,,,,,,
,,,,,1087,4.0,4,,,,,,
,,,,,1090,3.0,3,,,,,,
,,,,,1093,3.0,3,,,,,,
