Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
7.4,4.476606,17.0,3.0,7.4,0,,,,,,,,,,
,,,,,5,6.0,6,,,,,,,,
,,,,,10,5.0,5,,,,,,,,
,,,,,14,4.0,4,,,,,,,,
,,,,,17,3.0,3,,,,,,,,
,,,,,22,5.0,5,,,,,,,,
,,,,,25,3.0,3,,,,,,,,
,,,,,29,4.0,4,,,,,,,,
,,,,,34,5.0,5,,,,,,,,
,,,,,38,4.0,4,,,,,,,,
,,,,,43,5.0,5,,,,,,,,
,,,,,51,8.0,8,,,,,,,,
,,,,,58,7.0,7,,,,,,,,
,,,,,70,12.0,12,,,,,,,,
,,,,,74,4.0,4,,,,,,,,
,,,,,77,3.0,3,,,,,,,,
,,,,,81,4.0,4,,,,,,,,
,,,,,88,7.0,7,,,,,,,,
,,,,,95,7.0,7,,,,,,,,
,,,,,100,5.0,5,,,,,,,,
,,,,,105,5.0,5,,,,,,,,
,,,,,109,4.0,4,,,,,,,,
,,,,,121,12.0,12,,,,,,,,
,,,,,125,4.0,4,,,,,,,,
,,,,,131,6.0,6,,,,,,,,
,,,,,134,3.0,3,,,,,,,,
,,,,,138,4.0,4,,,,,,,,
,,,,,143,5.0,5,,,,,,,,
,,,,,148,5.0,5,,,,,,,,
,,,,,156,8.0,8,,,,,,,,
,,,,,159,3.0,3,,,,,,,,
,,,,,164,5.0,5,,,,,,,,
,,,,,169,5.0,5,,,,,,,,
,,,,,173,4.0,4,,,,,,,,
,,,,,181,8.0,8,,,,,,,,
,,,,,185,4.0,4,,,,,,,,
,,,,,192,7.0,7,,,,,,,,
,,,,,197,5.0,5,,,,,,,,
,,,,,201,4.0,4,,,,,,,,
,,,,,205,4.0,4,,,,,,,,
,,,,,210,5.0,5,,,,,,,,
,,,,,218,8.0,8,,,,,,,,
,,,,,221,3.0,3,,,,,,,,
,,,,,225,4.0,4,,,,,,,,
,,,,,229,4.0,4,,,,,,,,
,,,,,241,12.0,12,,,,,,,,
,,,,,245,4.0,4,,,,,,,,
,,,,,255,10.0,10,,,,,,,,
,,,,,259,4.0,4,,,,,,,,
,,,,,266,7.0,7,,,,,,,,
,,,,,271,5.0,5,,,,,,,,
,,,,,275,4.0,4,,,,,,,,
,,,,,279,4.0,4,,,,,,,,
,,,,,283,4.0,4,,,,,,,,
,,,,,287,4.0,4,,,,,,,,
,,,,,290,3.0,3,,,,,,,,
,,,,,294,4.0,4,,,,,,,,
,,,,,297,3.0,3,,,,,,,,
,,,,,311,14.0,14,,,,,,,,
,,,,,314,3.0,3,,,,,,,,
,,,,,321,7.0,7,,,,,,,,
,,,,,325,4.0,4,,,,,,,,
,,,,,335,10.0,10,,,,,,,,
,,,,,338,3.0,3,,,,,,,,
,,,,,342,4.0,4,,,,,,,,
,,,,,362,20.0,20,,,,,,,,
,,,,,367,5.0,5,,,,,,,,
,,,,,371,4.0,4,,,,,,,,
,,,,,379,8.0,8,,,,,,,,
,,,,,382,3.0,3,,,,,,,,
,,,,,390,8.0,8,,,,,,,,
,,,,,394,4.0,4,,,,,,,,
,,,,,398,4.0,4,,,,,,,,
,,,,,401,3.0,3,,,,,,,,
,,,,,411,10.0,10,,,,,,,,
,,,,,414,3.0,3,,,,,,,,
,,,,,425,11.0,11,,,,,,,,
,,,,,428,3.0,3,,,,,,,,
,,,,,433,5.0,5,,,,,,,,
,,,,,449,16.0,16,,,,,,,,
,,,,,456,7.0,7,,,,,,,,
,,,,,466,10.0,10,,,,,,,,
,,,,,470,4.0,4,,,,,,,,
,,,,,475,5.0,5,,,,,,,,
,,,,,479,4.0,4,,,,,,,,
,,,,,492,13.0,13,,,,,,,,
,,,,,495,3.0,3,,,,,,,,
,,,,,504,9.0,9,,,,,,,,
,,,,,508,4.0,4,,,,,,,,
,,,,,522,14.0,14,,,,,,,,
,,,,,530,8.0,8,,,,,,,,
,,,,,535,5.0,5,,,,,,,,
,,,,,546,11.0,11,,,,,,,,
,,,,,550,4.0,4,,,,,,,,
,,,,,559,9.0,9,,,,,,,,
,,,,,576,17.0,17,,,,,,,,
,,,,,580,4.0,4,,,,,,,,
