Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
60.0,0.0,60.0,60.0,1930.0,0,,,,,,,,
,,,,,497,300.0,2018,,,,,,
,,,,,942,190.0,1802,,,,,,
,,,,,1511,360.0,2298,,,,,,
,,,,,1892,200.0,1538,,,,,,
,,,,,2411,260.0,2082,,,,,,
,,,,,2901,270.0,1986,,,,,,
,,,,,3430,160.0,2114,,,,,,
,,,,,3996,310.0,2290,,,,,,
,,,,,4499,240.0,2034,,,,,,
,,,,,4989,260.0,1986,,,,,,
,,,,,5545,260.0,2250,,,,,,
,,,,,6049,310.0,2026,,,,,,
,,,,,6589,210.0,2178,,,,,,
,,,,,7110,190.0,2106,,,,,,
,,,,,7966,600.0,3426,,,,,,
,,,,,8516,230.0,2202,,,,,,
,,,,,9043,390.0,2122,,,,,,
,,,,,9438,170.0,1594,,,,,,
,,,,,9920,250.0,1954,,,,,,
60.0,0.0,60.0,60.0,1930.0,10000,,,,,,,,
,,,,,10415,190.0,1994,,,,,,
,,,,,10922,260.0,2050,,,,,,
,,,,,11420,260.0,1994,,,,,,
,,,,,11962,230.0,2178,,,,,,
,,,,,12505,220.0,2178,,,,,,
,,,,,12823,190.0,1282,,,,,,
,,,,,13227,220.0,1626,,,,,,
,,,,,13566,110.0,1370,,,,,,
,,,,,14037,310.0,1906,,,,,,
,,,,,14547,230.0,2066,,,,,,
,,,,,15075,200.0,2130,,,,,,
,,,,,15684,350.0,2442,,,,,,
,,,,,16196,230.0,2058,,,,,,
,,,,,16616,170.0,1698,,,,,,
,,,,,17040,140.0,1698,,,,,,
,,,,,17638,320.0,2402,,,,,,
,,,,,18000,120.0,1466,,,,,,
,,,,,18360,130.0,1466,,,,,,
,,,,,18849,140.0,1978,,,,,,
,,,,,19380,230.0,2146,,,,,,
,,,,,19852,300.0,1890,,,,,,
220.0,24.8998,240.0,180.0,2413.2,20000,,,0.0034782872535288334,-0.008327065035700798,0.04398823529481888,0.07063355296850204,1.0,0.0001
,,,,,20422,400.0,2290,,,,,,
,,,,,20929,200.0,2058,,,,,,
,,,,,21000,,,3.04137921333313,0.4574417471885681,0.35578203201293945,2.939892292022705,0.9979375,0.0001
,,,,,21435,250.0,2042,,,,,,
,,,,,22000,,,2.8941032886505127,0.40467649698257446,0.3279206156730652,2.880392074584961,0.995875,0.0001
,,,,,22005,400.0,2290,,,,,,
,,,,,22474,180.0,1890,,,,,,
,,,,,22860,150.0,1570,,,,,,
,,,,,23000,,,8.827223777770996,0.8209319710731506,1.4319580793380737,10.461398124694824,0.9938125,0.0001
,,,,,23482,290.0,2490,,,,,,
,,,,,23963,230.0,1922,,,,,,
,,,,,24000,,,5.9688825607299805,0.9898293614387512,1.192441701889038,8.26541519165039,0.99175,0.0001
,,,,,24485,280.0,2114,,,,,,
,,,,,24948,210.0,1858,,,,,,
,,,,,25000,,,2.832482099533081,1.3350611925125122,1.3443710803985596,5.723748207092285,0.9896875,0.0001
,,,,,25442,210.0,1994,,,,,,
,,,,,25925,200.0,1954,,,,,,
,,,,,26000,,,5.951068878173828,0.9882312417030334,1.4463391304016113,10.131477355957031,0.987625,0.0001
,,,,,26449,250.0,2114,,,,,,
,,,,,26954,230.0,2042,,,,,,
,,,,,27000,,,13.515355110168457,1.359617829322815,2.533781051635742,26.61829948425293,0.9855625,0.0001
,,,,,27346,120.0,1586,,,,,,
,,,,,27853,310.0,2050,,,,,,
,,,,,28000,,,8.41352653503418,1.5524524450302124,2.085116386413574,16.620067596435547,0.9835,0.0001
,,,,,28283,250.0,1730,,,,,,
,,,,,28689,160.0,1634,,,,,,
,,,,,29000,,,6.084744453430176,1.8059701919555664,2.165424108505249,14.401200294494629,0.9814375,0.0001
,,,,,29083,200.0,1602,,,,,,
,,,,,29555,170.0,1906,,,,,,
150.0,30.983868,170.0,90.0,2352.4,30000,,,0.6952799558639526,2.2888200283050537,1.687659502029419,21.649742126464844,0.979375,0.0001
,,,,,30081,300.0,2106,,,,,,
,,,,,31000,,,2.8161158561706543,2.058839797973633,2.2514138221740723,18.276161193847656,0.9773125,0.0001
,,,,,31054,520.0,3898,,,,,,
,,,,,31483,190.0,1722,,,,,,
,,,,,31915,220.0,1738,,,,,,
,,,,,32000,,,3.019679546356201,2.088083505630493,2.146324872970581,10.137584686279297,0.97525,0.0001
,,,,,32367,230.0,1810,,,,,,
,,,,,32850,190.0,1946,,,,,,
,,,,,33000,,,0.8388095498085022,2.795665740966797,2.3615803718566895,28.77431297302246,0.9731875,0.0001
,,,,,33605,640.0,3034,,,,,,
,,,,,34000,,,0.7913220524787903,3.135593891143799,2.6451258659362793,34.879859924316406,0.971125,0.0001
,,,,,34063,210.0,1850,,,,,,
,,,,,34624,300.0,2250,,,,,,
,,,,,35000,,,0.6219111680984497,3.7008140087127686,3.656346082687378,11.333028793334961,0.9690625,0.0001
,,,,,35114,280.0,1970,,,,,,
,,,,,35589,230.0,1906,,,,,,
,,,,,36000,,,2.9834237098693848,3.8479208946228027,3.559628486633301,26.772539138793945,0.967,0.0001
,,,,,36120,350.0,2138,,,,,,
,,,,,36702,230.0,2330,,,,,,
,,,,,37000,,,6.441256046295166,4.97470760345459,5.02899694442749,27.760644912719727,0.9649375,0.0001
,,,,,37145,250.0,1802,,,,,,
,,,,,37529,200.0,1538,,,,,,
,,,,,38000,,,4.1918134689331055,4.607447624206543,4.777980804443359,33.26578903198242,0.962875,0.0001
,,,,,38009,230.0,1938,,,,,,
,,,,,38732,380.0,2890,,,,,,
,,,,,39000,,,2.9285457134246826,4.197408199310303,4.544909477233887,34.75908279418945,0.9608125,0.0001
,,,,,39235,290.0,2034,,,,,,
,,,,,39581,130.0,1386,,,,,,
242.0,41.18252,320.0,210.0,1526.8,40000,,,7.241683006286621,5.605348587036133,6.136141777038574,69.94842529296875,0.95875,9.999989583333334e-05
,,,,,40025,140.0,1778,,,,,,
,,,,,40602,170.0,2322,,,,,,
,,,,,41000,,,5.133181095123291,5.5629353523254395,4.9374871253967285,109.57681274414062,0.9566875,9.989572916666667e-05
,,,,,41119,270.0,2066,,,,,,
,,,,,41594,270.0,1922,,,,,,
,,,,,42000,,,3.097242832183838,5.409791469573975,5.065073490142822,66.81261444091797,0.9546250000000001,9.97915625e-05
,,,,,42128,240.0,2162,,,,,,
,,,,,42519,210.0,1578,,,,,,
,,,,,43000,,,7.901370048522949,5.962882995605469,5.849606037139893,84.32161712646484,0.9525625,9.968739583333334e-05
,,,,,43043,240.0,2106,,,,,,
,,,,,43577,230.0,2138,,,,,,
,,,,,44000,,,4.854640960693359,6.48767614364624,6.810271263122559,160.31219482421875,0.9505,9.958322916666667e-05
,,,,,44016,200.0,1770,,,,,,
,,,,,44502,170.0,1946,,,,,,
,,,,,44923,170.0,1690,,,,,,
,,,,,45000,,,1.0492944717407227,5.77729606628418,5.347599506378174,96.6541519165039,0.9484375,9.947906250000001e-05
,,,,,46000,,,3.4328243732452393,6.571378707885742,7.138858318328857,110.0825424194336,0.946375,9.937489583333334e-05
,,,,,46243,750.0,5290,,,,,,
,,,,,46730,200.0,1978,,,,,,
